user_id,system,recall@10,long_tail_recall@10
user_000805,CF (Popularity),0.0,0.0
user_000805,Content (Avg Emb),0.0,0.0
user_000805,Essence (K=3),0.0,0.0
user_000410,CF (Popularity),0.0,0.0
user_000410,Content (Avg Emb),0.0,0.0
user_000410,Essence (K=3),0.0,0.0
user_000364,CF (Popularity),0.0,0.0
user_000364,Content (Avg Emb),0.0,0.0
user_000364,Essence (K=3),0.0,0.0
user_000286,CF (Popularity),0.0,0.0
user_000286,Content (Avg Emb),0.0,0.0
user_000286,Essence (K=3),0.0,0.0
user_000098,CF (Popularity),0.0,0.0
user_000098,Content (Avg Emb),0.0,0.0
user_000098,Essence (K=3),0.0,0.0
user_000843,CF (Popularity),0.0,0.0
user_000843,Content (Avg Emb),0.0,0.0
user_000843,Essence (K=3),0.0,0.0
user_000045,CF (Popularity),0.0,0.0
user_000045,Content (Avg Emb),0.0,0.0
user_000045,Essence (K=3),0.0,0.0
user_000560,CF (Popularity),0.0,0.0
user_000560,Content (Avg Emb),0.0,0.0
user_000560,Essence (K=3),0.0,0.0
user_000416,CF (Popularity),0.0,0.0
user_000416,Content (Avg Emb),0.0,0.0
user_000416,Essence (K=3),0.0,0.0
user_000547,CF (Popularity),0.0,0.0
user_000547,Content (Avg Emb),0.0,0.0
user_000547,Essence (K=3),0.0,0.0
user_000817,CF (Popularity),0.0,0.0
user_000817,Content (Avg Emb),0.0,0.0
user_000817,Essence (K=3),0.0,0.0
user_000473,CF (Popularity),0.0,0.0
user_000473,Content (Avg Emb),0.0,0.0
user_000473,Essence (K=3),0.0,0.0
user_000907,CF (Popularity),0.1,0.0
user_000907,Content (Avg Emb),0.0,0.0
user_000907,Essence (K=3),0.0,0.0
user_000014,CF (Popularity),0.0,0.0
user_000014,Content (Avg Emb),0.0,0.0
user_000014,Essence (K=3),0.0,0.0
user_000386,CF (Popularity),0.0,0.0
user_000386,Content (Avg Emb),0.0,0.0
user_000386,Essence (K=3),0.0,0.0
user_000183,CF (Popularity),0.0,0.0
user_000183,Content (Avg Emb),0.0,0.0
user_000183,Essence (K=3),0.0,0.0
user_000328,CF (Popularity),0.1,0.0
user_000328,Content (Avg Emb),0.4,0.0
user_000328,Essence (K=3),0.0,0.0
user_000948,CF (Popularity),0.1,0.0
user_000948,Content (Avg Emb),0.0,0.0
user_000948,Essence (K=3),0.0,0.0
user_000796,CF (Popularity),0.0,0.0
user_000796,Content (Avg Emb),0.0,0.0
user_000796,Essence (K=3),0.0,0.0
user_000301,CF (Popularity),0.0,0.0
user_000301,Content (Avg Emb),0.0,0.0
user_000301,Essence (K=3),0.0,0.0
user_000916,CF (Popularity),0.0,0.0
