user_id,system,recall@10,long_tail_recall@10
AE25PKP4DELQUP4EKOFRMTXG26GQ,Essence (K=3),0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,CF (ItemKNN),0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,Essence (K=3),0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,CF (ItemKNN),0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,Essence (K=3),0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,CF (ItemKNN),0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,Essence (K=3),0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,CF (ItemKNN),0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,Essence (K=3),0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,CF (ItemKNN),0.0,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,Essence (K=3),0.16666666666666666,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,CF (ItemKNN),0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,Essence (K=3),0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,CF (ItemKNN),0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,Essence (K=3),0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,CF (ItemKNN),0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,Essence (K=3),0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,CF (ItemKNN),0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,Essence (K=3),0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,CF (ItemKNN),0.0,
AE3CLQPNFWSWGO2DB43T34O3UUVA,Essence (K=3),0.0,
AE3CLQPNFWSWGO2DB43T34O3UUVA,CF (ItemKNN),0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,Essence (K=3),0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,CF (ItemKNN),0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,Essence (K=3),0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,CF (ItemKNN),0.0,
AE3NFC36AT3HIDJ5WJD3MFIJY33A,Essence (K=3),0.0,
AE3NFC36AT3HIDJ5WJD3MFIJY33A,CF (ItemKNN),0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,Essence (K=3),0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,CF (ItemKNN),0.0,
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,Essence (K=3),0.0,
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,CF (ItemKNN),0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,Essence (K=3),0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,CF (ItemKNN),0.0,
AE46IRBXL6OUQ4DYU2FTJOA4UBTQ,Essence (K=3),0.8,
AE46IRBXL6OUQ4DYU2FTJOA4UBTQ,CF (ItemKNN),0.0,
