user_id,system,recall@10,long_tail_recall@10
264,Essence (K=3),0.0,
264,CF (ItemKNN),0.0,
400,Essence (K=3),0.0,
400,CF (ItemKNN),0.0,
419,Essence (K=3),0.0,
419,CF (ItemKNN),0.0,
1159,Essence (K=3),0.0,
1159,CF (ItemKNN),0.0,
1568,Essence (K=3),0.0,
1568,CF (ItemKNN),0.0,
1649,Essence (K=3),0.0,
1649,CF (ItemKNN),0.0,
2396,Essence (K=3),0.0,
2396,CF (ItemKNN),0.0,
3146,Essence (K=3),0.0,
3146,CF (ItemKNN),0.0,
3367,Essence (K=3),0.0,
3367,CF (ItemKNN),0.0,
3461,Essence (K=3),0.0,
3461,CF (ItemKNN),0.0,
3561,Essence (K=3),0.0,
3561,CF (ItemKNN),0.0,
4057,Essence (K=3),0.0,
4057,CF (ItemKNN),0.0,
4359,Essence (K=3),0.0,
4359,CF (ItemKNN),0.0,
4701,Essence (K=3),0.0,
4701,CF (ItemKNN),0.0,
5087,Essence (K=3),0.0,
5087,CF (ItemKNN),0.0,
5205,Essence (K=3),0.0,
5205,CF (ItemKNN),0.0,
5295,Essence (K=3),0.0,
5295,CF (ItemKNN),0.0,
6017,Essence (K=3),0.0,
6017,CF (ItemKNN),0.0,
6409,Essence (K=3),0.0,
6409,CF (ItemKNN),0.0,
6798,Essence (K=3),0.0,
6798,CF (ItemKNN),0.0,
7489,Essence (K=3),0.0,
7489,CF (ItemKNN),0.0,
8163,Essence (K=3),0.0,
8163,CF (ItemKNN),0.0,
8174,Essence (K=3),0.0,
8174,CF (ItemKNN),0.0,
8268,Essence (K=3),0.0,
8268,CF (ItemKNN),0.0,
8397,Essence (K=3),0.0,
8397,CF (ItemKNN),0.0,
8830,Essence (K=3),0.0,
8830,CF (ItemKNN),0.0,
9533,Essence (K=3),0.0,
9533,CF (ItemKNN),0.0,
9950,Essence (K=3),0.0,
9950,CF (ItemKNN),0.0,
10314,Essence (K=3),0.0,
10314,CF (ItemKNN),0.0,
10372,Essence (K=3),0.0,
10372,CF (ItemKNN),0.0,
10477,Essence (K=3),0.0,
10477,CF (ItemKNN),0.0,
11212,Essence (K=3),0.0,
11212,CF (ItemKNN),0.0,
11245,Essence (K=3),0.0,
11245,CF (ItemKNN),0.0,
11319,Essence (K=3),0.0,
11319,CF (ItemKNN),0.0,
11376,Essence (K=3),0.0,
11376,CF (ItemKNN),0.0,
11632,Essence (K=3),0.0,
11632,CF (ItemKNN),0.0,
12234,Essence (K=3),0.0,
12234,CF (ItemKNN),0.0,
12330,Essence (K=3),0.0,
12330,CF (ItemKNN),0.0,
12670,Essence (K=3),0.0,
12670,CF (ItemKNN),0.0,
12867,Essence (K=3),0.0,
12867,CF (ItemKNN),0.0,
12874,Essence (K=3),0.0,
12874,CF (ItemKNN),0.0,
13171,Essence (K=3),0.0,
13171,CF (ItemKNN),0.0,
13275,Essence (K=3),0.0,
13275,CF (ItemKNN),0.0,
13387,Essence (K=3),0.0,
13387,CF (ItemKNN),0.0,
13402,Essence (K=3),0.0,
13402,CF (ItemKNN),0.0,
13855,Essence (K=3),0.0,
13855,CF (ItemKNN),0.0,
14194,Essence (K=3),0.0,
14194,CF (ItemKNN),0.0,
14720,Essence (K=3),0.0,
14720,CF (ItemKNN),0.0,
14970,Essence (K=3),0.0,
14970,CF (ItemKNN),0.0,
15147,Essence (K=3),0.0,
15147,CF (ItemKNN),0.0,
15230,Essence (K=3),0.5,
15230,CF (ItemKNN),0.0,
15259,Essence (K=3),0.0,
15259,CF (ItemKNN),0.0,
16195,Essence (K=3),0.0,
16195,CF (ItemKNN),0.0,
16312,Essence (K=3),0.0,
16312,CF (ItemKNN),0.0,
16409,Essence (K=3),0.0,
16409,CF (ItemKNN),0.0,
16643,Essence (K=3),0.0,
16643,CF (ItemKNN),0.0,
17085,Essence (K=3),0.0,
17085,CF (ItemKNN),0.0,
17407,Essence (K=3),0.0,
17407,CF (ItemKNN),0.0,
17713,Essence (K=3),0.0,
17713,CF (ItemKNN),0.0,
18270,Essence (K=3),0.0,
18270,CF (ItemKNN),0.0,
18530,Essence (K=3),0.0,
18530,CF (ItemKNN),0.0,
18715,Essence (K=3),0.0,
18715,CF (ItemKNN),0.0,
19787,Essence (K=3),0.0,
19787,CF (ItemKNN),0.0,
19836,Essence (K=3),0.0,
19836,CF (ItemKNN),0.0,
19966,Essence (K=3),0.0,
19966,CF (ItemKNN),0.0,
20334,Essence (K=3),0.0,
20334,CF (ItemKNN),0.0,
20635,Essence (K=3),0.0,
20635,CF (ItemKNN),0.0,
20981,Essence (K=3),0.0,
20981,CF (ItemKNN),0.0,
21657,Essence (K=3),0.0,
