user_id,system,recall@10,long_tail_recall@10
user_000008,CF (ItemKNN),0.0,
user_000008,Essence (K=3),0.09090909090909091,
user_000014,CF (ItemKNN),0.0,
user_000014,Essence (K=3),0.0,
user_000045,CF (ItemKNN),0.0,
user_000045,Essence (K=3),0.0,
user_000048,CF (ItemKNN),0.0,
user_000048,Essence (K=3),0.0,
user_000049,CF (ItemKNN),0.0,
user_000049,Essence (K=3),0.0,
user_000057,CF (ItemKNN),0.0,
user_000057,Essence (K=3),0.0,
user_000077,CF (ItemKNN),0.0,
user_000077,Essence (K=3),0.0,
user_000080,CF (ItemKNN),0.0,
user_000080,Essence (K=3),0.0,
user_000088,CF (ItemKNN),0.0,
user_000088,Essence (K=3),0.0,
user_000098,CF (ItemKNN),0.0,
user_000098,Essence (K=3),0.0,
user_000099,CF (ItemKNN),0.0,
user_000099,Essence (K=3),0.041666666666666664,
user_000101,CF (ItemKNN),0.0,
user_000101,Essence (K=3),0.16666666666666666,
user_000106,CF (ItemKNN),0.0,
user_000106,Essence (K=3),0.0,
user_000140,CF (ItemKNN),0.0,
user_000140,Essence (K=3),0.0,
user_000143,CF (ItemKNN),0.0,
user_000143,Essence (K=3),0.0,
user_000146,CF (ItemKNN),0.0,
user_000146,Essence (K=3),0.0,
user_000157,CF (ItemKNN),0.0,
user_000157,Essence (K=3),0.17647058823529413,
user_000171,CF (ItemKNN),0.0,
user_000171,Essence (K=3),0.0,
user_000176,CF (ItemKNN),0.0,
user_000176,Essence (K=3),0.0,
user_000183,CF (ItemKNN),0.0,
user_000183,Essence (K=3),0.0,
user_000184,CF (ItemKNN),0.0,
user_000184,Essence (K=3),0.0,
user_000192,CF (ItemKNN),0.0,
user_000192,Essence (K=3),0.0,
user_000204,CF (ItemKNN),0.0,
user_000204,Essence (K=3),0.0,
user_000225,CF (ItemKNN),0.0,
user_000225,Essence (K=3),0.0,
user_000228,CF (ItemKNN),0.0,
user_000228,Essence (K=3),0.0,
user_000232,CF (ItemKNN),0.0,
user_000232,Essence (K=3),0.0,
user_000247,CF (ItemKNN),0.0,
user_000247,Essence (K=3),0.0,
user_000272,CF (ItemKNN),0.0,
user_000272,Essence (K=3),0.0,
user_000282,CF (ItemKNN),0.0,
user_000282,Essence (K=3),0.0,
user_000286,CF (ItemKNN),0.0,
user_000286,Essence (K=3),0.0,
user_000301,CF (ItemKNN),0.0,
user_000301,Essence (K=3),0.0,
user_000308,CF (ItemKNN),0.0,
user_000308,Essence (K=3),0.0,
user_000321,CF (ItemKNN),0.0,
user_000321,Essence (K=3),0.0,
user_000328,CF (ItemKNN),0.0,
user_000328,Essence (K=3),0.0,
user_000333,CF (ItemKNN),0.0,
user_000333,Essence (K=3),0.0,
user_000335,CF (ItemKNN),0.0,
user_000335,Essence (K=3),0.0,
user_000336,CF (ItemKNN),0.0,
user_000336,Essence (K=3),0.0,
user_000352,CF (ItemKNN),0.0,
user_000352,Essence (K=3),0.0,
user_000364,CF (ItemKNN),0.0,
user_000364,Essence (K=3),0.0,
user_000368,CF (ItemKNN),0.0,
user_000368,Essence (K=3),0.0,
user_000375,CF (ItemKNN),0.0,
user_000375,Essence (K=3),0.0,
user_000386,CF (ItemKNN),0.0,
user_000386,Essence (K=3),0.0,
user_000399,CF (ItemKNN),0.0,
user_000399,Essence (K=3),0.0,
user_000402,CF (ItemKNN),0.0,
user_000402,Essence (K=3),0.0,
user_000406,CF (ItemKNN),0.0,
user_000406,Essence (K=3),0.0,
user_000408,CF (ItemKNN),0.0,
user_000408,Essence (K=3),0.0,
user_000410,CF (ItemKNN),0.0,
user_000410,Essence (K=3),0.0,
user_000416,CF (ItemKNN),0.0,
user_000416,Essence (K=3),0.0,
user_000419,CF (ItemKNN),0.0,
user_000419,Essence (K=3),0.0,
