user_id,system,recall@10,long_tail_recall@10
AE24IPP565CF2NWNDCSTYYGAWY5A,Last-Item,0.0,
AE24IPP565CF2NWNDCSTYYGAWY5A,Avg-Last-10,0.0,
AE24IPP565CF2NWNDCSTYYGAWY5A,Recency-Weighted,0.0,
AE24IPP565CF2NWNDCSTYYGAWY5A,CF (ItemKNN),0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,Last-Item,0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,Avg-Last-10,0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,Recency-Weighted,0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,CF (ItemKNN),0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,Last-Item,0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,Avg-Last-10,0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,Recency-Weighted,0.0,
AE2BR5KVBCYRPJOE5QIJA522WD6A,CF (ItemKNN),0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,Last-Item,0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,Avg-Last-10,0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,Recency-Weighted,0.0,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,CF (ItemKNN),0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,Last-Item,0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,Avg-Last-10,0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,Recency-Weighted,0.0,
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,CF (ItemKNN),0.0,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,Last-Item,0.0,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,Avg-Last-10,0.2,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,Recency-Weighted,0.2,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,CF (ItemKNN),0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,Last-Item,0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,Avg-Last-10,0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,Recency-Weighted,0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,CF (ItemKNN),0.0,
AE2LYVGEMVGJLY4AKRKBUGATC7RA,Last-Item,0.0,
AE2LYVGEMVGJLY4AKRKBUGATC7RA,Avg-Last-10,0.0,
AE2LYVGEMVGJLY4AKRKBUGATC7RA,Recency-Weighted,0.0,
AE2LYVGEMVGJLY4AKRKBUGATC7RA,CF (ItemKNN),0.0,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,Last-Item,0.0,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,Avg-Last-10,0.0,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,Recency-Weighted,0.0,
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,CF (ItemKNN),0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,Last-Item,0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,Avg-Last-10,0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,Recency-Weighted,0.0,
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,CF (ItemKNN),0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,Last-Item,0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,Avg-Last-10,0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,Recency-Weighted,0.0,
AE2RM4MMMEI72LAIUE65SE6O3HYA,CF (ItemKNN),0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,Last-Item,0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,Avg-Last-10,0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,Recency-Weighted,0.0,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,CF (ItemKNN),0.0,
AE36QRRPB4KJXCCDF2O6RO3RHGEA,Last-Item,0.0,
AE36QRRPB4KJXCCDF2O6RO3RHGEA,Avg-Last-10,0.0,
AE36QRRPB4KJXCCDF2O6RO3RHGEA,Recency-Weighted,0.0,
AE36QRRPB4KJXCCDF2O6RO3RHGEA,CF (ItemKNN),0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,Last-Item,0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,Avg-Last-10,0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,Recency-Weighted,0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,CF (ItemKNN),0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,Last-Item,0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,Avg-Last-10,0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,Recency-Weighted,0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,CF (ItemKNN),0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,Last-Item,0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,Avg-Last-10,0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,Recency-Weighted,0.0,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,CF (ItemKNN),0.0,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,Last-Item,0.0,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,Avg-Last-10,0.0,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,Recency-Weighted,0.0,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,CF (ItemKNN),0.0,
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,Last-Item,0.0,
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,Avg-Last-10,0.0,
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,Recency-Weighted,0.0,
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,CF (ItemKNN),0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,Last-Item,0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,Avg-Last-10,0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,Recency-Weighted,0.0,
AE3QBHORIX77P4VSY56UGRH7JHKA,CF (ItemKNN),0.0,
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,Last-Item,0.0,
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,Avg-Last-10,0.0,
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,Recency-Weighted,0.0,
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,CF (ItemKNN),0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,Last-Item,0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,Avg-Last-10,0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,Recency-Weighted,0.0,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,CF (ItemKNN),0.0,
AE4Y3YEZRRMFC44WE74BCZQN5LRA,Last-Item,0.0,
AE4Y3YEZRRMFC44WE74BCZQN5LRA,Avg-Last-10,0.0,
AE4Y3YEZRRMFC44WE74BCZQN5LRA,Recency-Weighted,0.0,
AE4Y3YEZRRMFC44WE74BCZQN5LRA,CF (ItemKNN),0.0,
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,Last-Item,0.0,
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,Avg-Last-10,0.0,
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,Recency-Weighted,0.0,
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,CF (ItemKNN),0.0,
AE55IIDFUIUGHAHTLOPEQDSW3IHA,Last-Item,0.0,
AE55IIDFUIUGHAHTLOPEQDSW3IHA,Avg-Last-10,0.0,
AE55IIDFUIUGHAHTLOPEQDSW3IHA,Recency-Weighted,0.0,
AE55IIDFUIUGHAHTLOPEQDSW3IHA,CF (ItemKNN),0.0,
AE56DXBMRDCY5MHCAL24LQJR7AMA,Last-Item,0.0,
AE56DXBMRDCY5MHCAL24LQJR7AMA,Avg-Last-10,0.42857142857142855,
AE56DXBMRDCY5MHCAL24LQJR7AMA,Recency-Weighted,0.42857142857142855,
AE56DXBMRDCY5MHCAL24LQJR7AMA,CF (ItemKNN),0.0,
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,Last-Item,0.0,
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,Avg-Last-10,0.0,
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,Recency-Weighted,0.0,
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,CF (ItemKNN),0.0,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,Last-Item,0.0,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,Avg-Last-10,0.0,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,Recency-Weighted,0.0,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,CF (ItemKNN),0.0,
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,Last-Item,0.0,
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,Avg-Last-10,0.0,
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,Recency-Weighted,0.0,
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,CF (ItemKNN),0.0,
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,Last-Item,0.0,
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,Avg-Last-10,0.0,
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,Recency-Weighted,0.0,
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,CF (ItemKNN),0.0,
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,Last-Item,0.0,
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,Avg-Last-10,0.0,
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,Recency-Weighted,0.0,
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,CF (ItemKNN),0.0,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,Last-Item,0.0,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,Avg-Last-10,0.0,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,Recency-Weighted,0.0,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,CF (ItemKNN),0.0,
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,Last-Item,0.0,
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,Avg-Last-10,0.0,
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,Recency-Weighted,0.0,
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,CF (ItemKNN),0.0,
AE637SWDEZDSUOIQAR5MUU5CHOCA,Last-Item,0.0,
AE637SWDEZDSUOIQAR5MUU5CHOCA,Avg-Last-10,0.0,
AE637SWDEZDSUOIQAR5MUU5CHOCA,Recency-Weighted,0.0,
AE637SWDEZDSUOIQAR5MUU5CHOCA,CF (ItemKNN),0.0,
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,Last-Item,0.0,
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,Avg-Last-10,0.0,
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,Recency-Weighted,0.0,
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,CF (ItemKNN),0.0,
AE6462BTZG254SNA4VCUXPAQEAPA,Last-Item,0.0,
AE6462BTZG254SNA4VCUXPAQEAPA,Avg-Last-10,0.0,
AE6462BTZG254SNA4VCUXPAQEAPA,Recency-Weighted,0.0,
AE6462BTZG254SNA4VCUXPAQEAPA,CF (ItemKNN),0.0,
