user_id,system,recall@10,long_tail_recall@10
user_000008,Last-Item,0.13636363636363635,
user_000008,Avg-Last-10,0.045454545454545456,
user_000008,Recency-Weighted,0.09090909090909091,
user_000008,CF (ItemKNN),0.0,
user_000014,Last-Item,0.0,
user_000014,Avg-Last-10,0.0,
user_000014,Recency-Weighted,0.0,
user_000014,CF (ItemKNN),0.0,
user_000045,Last-Item,0.0,
user_000045,Avg-Last-10,0.0,
user_000045,Recency-Weighted,0.0,
user_000045,CF (ItemKNN),0.0,
user_000048,Last-Item,0.0,
user_000048,Avg-Last-10,0.0,
user_000048,Recency-Weighted,0.0,
user_000048,CF (ItemKNN),0.0,
user_000049,Last-Item,0.0,
user_000049,Avg-Last-10,0.0,
user_000049,Recency-Weighted,0.0,
user_000049,CF (ItemKNN),0.0,
user_000057,Last-Item,0.0,
user_000057,Avg-Last-10,0.0,
user_000057,Recency-Weighted,0.043478260869565216,
user_000057,CF (ItemKNN),0.0,
user_000077,Last-Item,0.0,
user_000077,Avg-Last-10,0.0,
user_000077,Recency-Weighted,0.0,
user_000077,CF (ItemKNN),0.0,
user_000080,Last-Item,0.0,
user_000080,Avg-Last-10,0.0,
user_000080,Recency-Weighted,0.0,
user_000080,CF (ItemKNN),0.0,
user_000088,Last-Item,0.07692307692307693,
user_000088,Avg-Last-10,0.0,
user_000088,Recency-Weighted,0.0,
user_000088,CF (ItemKNN),0.0,
user_000098,Last-Item,0.0,
user_000098,Avg-Last-10,0.0,
user_000098,Recency-Weighted,0.0,
user_000098,CF (ItemKNN),0.0,
user_000099,Last-Item,0.20833333333333334,
user_000099,Avg-Last-10,0.25,
user_000099,Recency-Weighted,0.25,
user_000099,CF (ItemKNN),0.0,
user_000101,Last-Item,0.16666666666666666,
user_000101,Avg-Last-10,0.16666666666666666,
user_000101,Recency-Weighted,0.16666666666666666,
user_000101,CF (ItemKNN),0.0,
user_000106,Last-Item,0.0,
user_000106,Avg-Last-10,0.0,
user_000106,Recency-Weighted,0.0,
user_000106,CF (ItemKNN),0.0,
user_000140,Last-Item,0.0,
user_000140,Avg-Last-10,0.0,
user_000140,Recency-Weighted,0.0,
user_000140,CF (ItemKNN),0.0,
user_000143,Last-Item,0.0,
user_000143,Avg-Last-10,0.05263157894736842,
user_000143,Recency-Weighted,0.05263157894736842,
user_000143,CF (ItemKNN),0.0,
user_000146,Last-Item,0.0,
user_000146,Avg-Last-10,0.0,
user_000146,Recency-Weighted,0.0,
user_000146,CF (ItemKNN),0.0,
user_000157,Last-Item,0.17647058823529413,
user_000157,Avg-Last-10,0.17647058823529413,
user_000157,Recency-Weighted,0.17647058823529413,
user_000157,CF (ItemKNN),0.0,
user_000171,Last-Item,0.0,
user_000171,Avg-Last-10,0.0,
user_000171,Recency-Weighted,0.0,
user_000171,CF (ItemKNN),0.0,
user_000176,Last-Item,0.0,
user_000176,Avg-Last-10,0.0,
user_000176,Recency-Weighted,0.0,
user_000176,CF (ItemKNN),0.0,
user_000183,Last-Item,0.0,
user_000183,Avg-Last-10,0.0,
user_000183,Recency-Weighted,0.0,
user_000183,CF (ItemKNN),0.0,
user_000184,Last-Item,0.0,
user_000184,Avg-Last-10,0.0,
user_000184,Recency-Weighted,0.0,
user_000184,CF (ItemKNN),0.0,
