user_id,system,recall@10,long_tail_recall@10
67,CF (ItemKNN),0.0,
67,Last-Item,0.0,
67,Avg-Last-10,0.0,
67,Recency-Weighted,0.0,
182,CF (ItemKNN),0.0,
182,Last-Item,0.0,
182,Avg-Last-10,0.0,
182,Recency-Weighted,0.0,
2501,CF (ItemKNN),0.0,
2501,Last-Item,0.0,
2501,Avg-Last-10,0.0,
2501,Recency-Weighted,0.0,
3367,CF (ItemKNN),0.0,
3367,Last-Item,0.0,
3367,Avg-Last-10,0.0,
3367,Recency-Weighted,0.0,
3561,CF (ItemKNN),0.0,
3561,Last-Item,0.0,
3561,Avg-Last-10,0.0,
3561,Recency-Weighted,0.0,
5205,CF (ItemKNN),0.0,
5205,Last-Item,0.0,
5205,Avg-Last-10,0.0,
5205,Recency-Weighted,0.0,
5295,CF (ItemKNN),0.0,
5295,Last-Item,0.0,
5295,Avg-Last-10,0.0,
5295,Recency-Weighted,0.0,
5833,CF (ItemKNN),0.0,
5833,Last-Item,0.0,
5833,Avg-Last-10,0.0,
5833,Recency-Weighted,0.0,
6409,CF (ItemKNN),0.0,
6409,Last-Item,0.0,
6409,Avg-Last-10,0.0,
6409,Recency-Weighted,0.0,
7216,CF (ItemKNN),0.0,
7216,Last-Item,0.0,
7216,Avg-Last-10,0.0,
7216,Recency-Weighted,0.0,
7675,CF (ItemKNN),0.0,
7675,Last-Item,0.0,
7675,Avg-Last-10,0.0,
7675,Recency-Weighted,0.0,
8163,CF (ItemKNN),0.0,
8163,Last-Item,0.0,
8163,Avg-Last-10,0.0,
8163,Recency-Weighted,0.0,
8268,CF (ItemKNN),0.0,
8268,Last-Item,0.0,
8268,Avg-Last-10,0.0,
8268,Recency-Weighted,0.0,
8358,CF (ItemKNN),0.0,
8358,Last-Item,0.0,
8358,Avg-Last-10,0.0,
8358,Recency-Weighted,0.0,
9146,CF (ItemKNN),0.0,
9146,Last-Item,0.0,
9146,Avg-Last-10,0.0,
9146,Recency-Weighted,0.0,
9269,CF (ItemKNN),1.0,
9269,Last-Item,0.0,
9269,Avg-Last-10,0.0,
9269,Recency-Weighted,0.0,
10372,CF (ItemKNN),0.0,
10372,Last-Item,0.0,
10372,Avg-Last-10,0.0,
10372,Recency-Weighted,0.0,
10477,CF (ItemKNN),0.0,
10477,Last-Item,0.0,
10477,Avg-Last-10,0.0,
10477,Recency-Weighted,0.0,
11212,CF (ItemKNN),0.0,
11212,Last-Item,0.0,
11212,Avg-Last-10,0.0,
11212,Recency-Weighted,0.0,
11599,CF (ItemKNN),0.0,
11599,Last-Item,0.0,
11599,Avg-Last-10,0.0,
11599,Recency-Weighted,0.0,
11912,CF (ItemKNN),0.0,
11912,Last-Item,0.0,
11912,Avg-Last-10,0.0,
11912,Recency-Weighted,0.0,
12234,CF (ItemKNN),0.0,
12234,Last-Item,0.0,
12234,Avg-Last-10,0.0,
12234,Recency-Weighted,0.0,
12330,CF (ItemKNN),0.0,
12330,Last-Item,0.0,
12330,Avg-Last-10,0.0,
12330,Recency-Weighted,0.0,
12867,CF (ItemKNN),0.0,
12867,Last-Item,0.0,
12867,Avg-Last-10,0.0,
12867,Recency-Weighted,0.0,
13044,CF (ItemKNN),0.0,
13044,Last-Item,0.0,
13044,Avg-Last-10,0.0,
13044,Recency-Weighted,0.0,
14843,CF (ItemKNN),0.0,
14843,Last-Item,0.0,
14843,Avg-Last-10,0.0,
14843,Recency-Weighted,0.0,
14970,CF (ItemKNN),0.0,
14970,Last-Item,0.0,
14970,Avg-Last-10,0.0,
14970,Recency-Weighted,0.0,
15147,CF (ItemKNN),0.0,
15147,Last-Item,0.0,
15147,Avg-Last-10,0.0,
15147,Recency-Weighted,0.0,
16211,CF (ItemKNN),0.0,
16211,Last-Item,0.0,
16211,Avg-Last-10,0.0,
16211,Recency-Weighted,0.0,
17713,CF (ItemKNN),0.0,
17713,Last-Item,0.0,
17713,Avg-Last-10,0.0,
17713,Recency-Weighted,0.0,
18270,CF (ItemKNN),0.0,
18270,Last-Item,0.0,
18270,Avg-Last-10,0.0,
18270,Recency-Weighted,0.0,
18694,CF (ItemKNN),0.0,
18694,Last-Item,0.0,
18694,Avg-Last-10,0.0,
18694,Recency-Weighted,0.0,
19787,CF (ItemKNN),0.0,
19787,Last-Item,0.0,
19787,Avg-Last-10,0.0,
19787,Recency-Weighted,0.0,
19836,CF (ItemKNN),0.0,
19836,Last-Item,0.0,
19836,Avg-Last-10,0.0,
19836,Recency-Weighted,0.0,
19849,CF (ItemKNN),0.0,
19849,Last-Item,0.0,
19849,Avg-Last-10,0.0,
19849,Recency-Weighted,0.0,
20411,CF (ItemKNN),0.0,
20411,Last-Item,0.0,
20411,Avg-Last-10,0.0,
20411,Recency-Weighted,0.0,
20981,CF (ItemKNN),0.0,
20981,Last-Item,0.0,
20981,Avg-Last-10,0.0,
20981,Recency-Weighted,0.0,
21795,CF (ItemKNN),0.0,
21795,Last-Item,0.0,
21795,Avg-Last-10,0.0,
21795,Recency-Weighted,0.0,
23016,CF (ItemKNN),0.0,
23016,Last-Item,0.0,
23016,Avg-Last-10,0.0,
23016,Recency-Weighted,0.0,
23420,CF (ItemKNN),0.0,
23420,Last-Item,0.0,
23420,Avg-Last-10,0.0,
23420,Recency-Weighted,0.0,
24375,CF (ItemKNN),0.0,
24375,Last-Item,0.0,
24375,Avg-Last-10,0.0,
24375,Recency-Weighted,0.0,
25044,CF (ItemKNN),0.0,
25044,Last-Item,0.0,
25044,Avg-Last-10,0.0,
25044,Recency-Weighted,0.0,
26064,CF (ItemKNN),0.0,
26064,Last-Item,0.0,
26064,Avg-Last-10,0.0,
26064,Recency-Weighted,0.0,
26985,CF (ItemKNN),0.0,
26985,Last-Item,0.0,
26985,Avg-Last-10,0.0,
26985,Recency-Weighted,0.0,
27194,CF (ItemKNN),0.0,
27194,Last-Item,0.0,
27194,Avg-Last-10,0.0,
27194,Recency-Weighted,0.0,
27503,CF (ItemKNN),0.0,
27503,Last-Item,0.0,
27503,Avg-Last-10,0.0,
27503,Recency-Weighted,0.0,
28045,CF (ItemKNN),0.0,
28045,Last-Item,0.0,
28045,Avg-Last-10,0.0,
28045,Recency-Weighted,0.0,
28494,CF (ItemKNN),0.0,
28494,Last-Item,0.0,
28494,Avg-Last-10,0.0,
28494,Recency-Weighted,0.0,
29281,CF (ItemKNN),0.0,
29281,Last-Item,0.0,
29281,Avg-Last-10,0.0,
29281,Recency-Weighted,0.0,
31181,CF (ItemKNN),0.0,
31181,Last-Item,0.0,
31181,Avg-Last-10,0.0,
31181,Recency-Weighted,0.0,
31264,CF (ItemKNN),0.0,
31264,Last-Item,0.0,
31264,Avg-Last-10,0.0,
31264,Recency-Weighted,0.0,
31835,CF (ItemKNN),0.0,
31835,Last-Item,0.0,
31835,Avg-Last-10,0.0,
31835,Recency-Weighted,0.0,
32298,CF (ItemKNN),0.0,
32298,Last-Item,0.0,
32298,Avg-Last-10,0.0,
32298,Recency-Weighted,0.0,
33517,CF (ItemKNN),0.0,
33517,Last-Item,0.0,
33517,Avg-Last-10,0.0,
33517,Recency-Weighted,0.0,
34593,CF (ItemKNN),0.0,
34593,Last-Item,0.0,
34593,Avg-Last-10,0.0,
34593,Recency-Weighted,0.0,
35007,CF (ItemKNN),0.0,
35007,Last-Item,0.0,
35007,Avg-Last-10,0.0,
35007,Recency-Weighted,0.0,
35806,CF (ItemKNN),0.0,
35806,Last-Item,0.0,
35806,Avg-Last-10,0.0,
35806,Recency-Weighted,0.0,
36082,CF (ItemKNN),0.0,
36082,Last-Item,0.0,
36082,Avg-Last-10,0.0,
36082,Recency-Weighted,0.0,
37065,CF (ItemKNN),0.0,
37065,Last-Item,0.0,
37065,Avg-Last-10,0.0,
37065,Recency-Weighted,0.0,
38833,CF (ItemKNN),0.0,
38833,Last-Item,0.0,
38833,Avg-Last-10,0.0,
38833,Recency-Weighted,0.0,
39107,CF (ItemKNN),0.0,
39107,Last-Item,0.0,
39107,Avg-Last-10,0.0,
39107,Recency-Weighted,0.0,
39482,CF (ItemKNN),0.0,
39482,Last-Item,0.0,
39482,Avg-Last-10,0.0,
39482,Recency-Weighted,0.0,
40088,CF (ItemKNN),0.0,
40088,Last-Item,0.0,
40088,Avg-Last-10,0.0,
40088,Recency-Weighted,0.0,
40730,CF (ItemKNN),0.0,
40730,Last-Item,0.0,
40730,Avg-Last-10,0.0,
40730,Recency-Weighted,0.0,
40989,CF (ItemKNN),0.0,
40989,Last-Item,0.0,
40989,Avg-Last-10,0.0,
40989,Recency-Weighted,0.0,
41289,CF (ItemKNN),0.0,
41289,Last-Item,0.0,
41289,Avg-Last-10,0.0,
41289,Recency-Weighted,0.0,
41426,CF (ItemKNN),0.0,
41426,Last-Item,0.0,
41426,Avg-Last-10,0.0,
41426,Recency-Weighted,0.0,
42600,CF (ItemKNN),0.0,
42600,Last-Item,0.0,
42600,Avg-Last-10,0.0,
42600,Recency-Weighted,0.0,
42937,CF (ItemKNN),0.0,
42937,Last-Item,0.0,
42937,Avg-Last-10,0.0,
42937,Recency-Weighted,0.0,
43096,CF (ItemKNN),0.0,
43096,Last-Item,0.0,
43096,Avg-Last-10,0.0,
43096,Recency-Weighted,0.0,
43401,CF (ItemKNN),0.0,
43401,Last-Item,0.0,
43401,Avg-Last-10,0.0,
43401,Recency-Weighted,0.0,
43486,CF (ItemKNN),0.0,
43486,Last-Item,0.0,
43486,Avg-Last-10,0.0,
43486,Recency-Weighted,0.0,
43859,CF (ItemKNN),0.0,
43859,Last-Item,0.0,
43859,Avg-Last-10,0.0,
43859,Recency-Weighted,0.0,
44839,CF (ItemKNN),0.0,
44839,Last-Item,0.0,
44839,Avg-Last-10,0.0,
44839,Recency-Weighted,0.0,
45068,CF (ItemKNN),0.0,
45068,Last-Item,0.0,
45068,Avg-Last-10,0.0,
45068,Recency-Weighted,0.0,
45400,CF (ItemKNN),0.0,
45400,Last-Item,0.0,
45400,Avg-Last-10,0.0,
45400,Recency-Weighted,0.0,
45722,CF (ItemKNN),0.0,
45722,Last-Item,0.0,
45722,Avg-Last-10,0.0,
45722,Recency-Weighted,0.0,
45731,CF (ItemKNN),0.0,
45731,Last-Item,0.0,
45731,Avg-Last-10,0.0,
45731,Recency-Weighted,0.0,
45789,CF (ItemKNN),0.0,
45789,Last-Item,0.0,
45789,Avg-Last-10,0.0,
45789,Recency-Weighted,0.0,
45878,CF (ItemKNN),0.0,
45878,Last-Item,0.0,
45878,Avg-Last-10,0.0,
45878,Recency-Weighted,0.0,
45969,CF (ItemKNN),0.0,
45969,Last-Item,0.0,
45969,Avg-Last-10,0.0,
45969,Recency-Weighted,0.0,
46647,CF (ItemKNN),0.0,
46647,Last-Item,0.0,
46647,Avg-Last-10,0.0,
46647,Recency-Weighted,0.0,
46885,CF (ItemKNN),0.0,
46885,Last-Item,0.0,
46885,Avg-Last-10,0.0,
46885,Recency-Weighted,0.0,
47033,CF (ItemKNN),0.0,
47033,Last-Item,0.0,
47033,Avg-Last-10,0.0,
47033,Recency-Weighted,0.0,
48015,CF (ItemKNN),0.0,
48015,Last-Item,0.0,
48015,Avg-Last-10,0.0,
48015,Recency-Weighted,0.0,
