dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users,p_value_raw_two_sided,q_value_bh,significant_raw_p<0.05,significant_after_fdr,family
MovieLens-25M,Recall@10,Essence (K=3),Random,0.004806,0.001174,0.003632,0.002371,0.004979,1.0,0.1217,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),Popularity,0.004806,0.051728,-0.046922,-0.051438,-0.042296,0.0,-0.447,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),CF (ItemKNN),0.004806,0.085047,-0.080241,-0.086725,-0.07401,0.0,-0.5578,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),Content (Avg Emb),0.004806,0.00426,0.000546,-0.000744,0.001907,0.7901,0.018,2000,0.41979999999999995,0.7556399999999999,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),Last-Item,0.004806,0.009066,-0.00426,-0.006364,-0.00229,0.0,-0.0919,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),Avg-Last-10,0.004806,0.006395,-0.001589,-0.003154,-8.1e-05,0.02,-0.0455,2000,0.04,0.09,True,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),Recency-Weighted,0.004806,0.007604,-0.002798,-0.004372,-0.001308,0.0001,-0.0805,2000,0.0002,0.0005142857142857143,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),MIND,0.004806,0.042288,-0.037482,-0.041699,-0.033255,0.0,-0.3879,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,Recall@10,Essence (K=3),ComiRec (SA),0.004806,0.070611,-0.065805,-0.071382,-0.060384,0.0,-0.5219,2000,0.0,0.0,True,True,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Random,0.002041,0.0,0.002041,0.0,0.006122,0.6287,0.0452,490,0.7425999999999999,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Popularity,0.002041,0.0,0.002041,0.0,0.006122,0.6302,0.0452,490,0.7396,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),CF (ItemKNN),0.002041,0.003741,-0.001701,-0.007823,0.004422,0.2581,-0.0245,490,0.5162,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Content (Avg Emb),0.002041,0.002041,0.0,-0.006122,0.006122,0.3409,0.0,490,0.6818,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Last-Item,0.002041,0.003061,-0.00102,-0.007143,0.005102,0.2902,-0.015,490,0.5804,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Avg-Last-10,0.002041,0.002551,-0.00051,-0.006633,0.005612,0.3359,-0.0079,490,0.6718,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),Recency-Weighted,0.002041,0.004592,-0.002551,-0.009184,0.003584,0.1787,-0.0353,490,0.3574,0.7148,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),MIND,0.002041,0.0,0.002041,0.0,0.006122,0.6347,0.0452,490,0.7305999999999999,0.7862823529411763,False,False,movielens_18_comparisons (SEPARATE family)
MovieLens-25M,LT-Recall@10,Essence (K=3),ComiRec (SA),0.002041,0.001361,0.00068,-0.003061,0.005782,0.5264,0.0133,490,0.9472,0.9472,False,False,movielens_18_comparisons (SEPARATE family)
