part,decile,n_singleton_items_in_decile,pct_of_all_singletons,n_lt_recall_hits_in_decile,pct_of_all_lt_hits
catalog_overlap,1,0.0,0.0,,
catalog_overlap,2,1543.0,3.5985820234152714,,
catalog_overlap,3,6172.0,14.394328093661086,,
catalog_overlap,4,6173.0,14.39666029199123,,
catalog_overlap,5,6173.0,14.39666029199123,,
catalog_overlap,6,6172.0,14.394328093661086,,
catalog_overlap,7,6173.0,14.39666029199123,,
catalog_overlap,8,6172.0,14.394328093661086,,
catalog_overlap,9,4300.0,10.02845281962778,,
catalog_overlap,10,0.0,0.0,,
hit_decomposition,1,,,0.0,0.0
hit_decomposition,2,,,0.0,0.0
hit_decomposition,3,,,2.0,4.3478260869565215
hit_decomposition,4,,,7.0,15.217391304347826
hit_decomposition,5,,,5.0,10.869565217391305
hit_decomposition,6,,,7.0,15.217391304347826
hit_decomposition,7,,,1.0,2.1739130434782608
hit_decomposition,8,,,7.0,15.217391304347826
hit_decomposition,9,,,17.0,36.95652173913044
hit_decomposition,10,,,0.0,0.0
