user_id,system,recall@10,long_tail_recall@10
AE24IPP565CF2NWNDCSTYYGAWY5A,ComiRec (SA) (seed1),0.0,nan
AE25PKP4DELQUP4EKOFRMTXG26GQ,ComiRec (SA) (seed1),0.0,0.0
AE2BR5KVBCYRPJOE5QIJA522WD6A,ComiRec (SA) (seed1),0.0,0.0
AE2EQIWFETMRHUOAQQ75IT7OYCWA,ComiRec (SA) (seed1),0.0,0.0
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,ComiRec (SA) (seed1),0.0,nan
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,ComiRec (SA) (seed1),0.2,nan
AE2L54LBHP2INCTEHGS7IEAFQJIA,ComiRec (SA) (seed1),0.0,0.0
AE2LYVGEMVGJLY4AKRKBUGATC7RA,ComiRec (SA) (seed1),0.0,0.0
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,ComiRec (SA) (seed1),0.0,0.0
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,ComiRec (SA) (seed1),0.0,0.0
AE2RM4MMMEI72LAIUE65SE6O3HYA,ComiRec (SA) (seed1),0.0,0.0
AE34UEHMNFJNTDSCOKGUGGZN37LQ,ComiRec (SA) (seed1),0.0,0.0
AE36QRRPB4KJXCCDF2O6RO3RHGEA,ComiRec (SA) (seed1),0.0,nan
AE3B52RNBKYNGB4W7OUKA2ZUKETA,ComiRec (SA) (seed1),0.0,0.0
AE3CLQPNFWSWGO2DB43T34O3UUVA,ComiRec (SA) (seed1),0.0,nan
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,ComiRec (SA) (seed1),0.0,0.0
AE3JIZUY5NFAZXIUPKYAIC43SICQ,ComiRec (SA) (seed1),0.0,nan
AE3NFC36AT3HIDJ5WJD3MFIJY33A,ComiRec (SA) (seed1),0.0,nan
AE3NMEDUNWZRXX34BS4OARMGPIZQ,ComiRec (SA) (seed1),0.0,0.0
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,ComiRec (SA) (seed1),0.0,0.0
AE3QBHORIX77P4VSY56UGRH7JHKA,ComiRec (SA) (seed1),0.0,0.0
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,ComiRec (SA) (seed1),0.0,0.0
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,ComiRec (SA) (seed1),0.0,0.0
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,ComiRec (SA) (seed1),0.0,0.0
AE46IRBXL6OUQ4DYU2FTJOA4UBTQ,ComiRec (SA) (seed1),0.0,nan
AE4INHLQ3RJDSFLZKJ7435HZNZ3A,ComiRec (SA) (seed1),0.0,0.0
AE4OENC32WCDOINT3W6IDUVQNX4A,ComiRec (SA) (seed1),0.0,0.0
AE4QJLCBQH74DTKX3MN6JPSN22YQ,ComiRec (SA) (seed1),0.0,0.0
AE4WNZBCEVA3EXBG2H33AQ2FG7PQ,ComiRec (SA) (seed1),0.0,0.0
AE4Y3YEZRRMFC44WE74BCZQN5LRA,ComiRec (SA) (seed1),0.0,0.0
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,ComiRec (SA) (seed1),0.0,nan
AE55IIDFUIUGHAHTLOPEQDSW3IHA,ComiRec (SA) (seed1),0.0,nan
AE56DXBMRDCY5MHCAL24LQJR7AMA,ComiRec (SA) (seed1),0.0,0.0
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,ComiRec (SA) (seed1),0.0,nan
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,ComiRec (SA) (seed1),0.0,0.0
AE5HL767XRMBS7GT7S634WKBNQDQ,ComiRec (SA) (seed1),0.0,0.0
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,ComiRec (SA) (seed1),0.0,0.0
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,ComiRec (SA) (seed1),0.0,0.0
