dataset,system,k,recall@k,lt_recall@k,n_users,n_lt_users
amazon,Essence (K=3),5,0.014990040305613466,0.010998083443903876,2000,1292
amazon,Essence (K=3),10,0.022121765036539516,0.019705513784461153,2000,1292
amazon,Essence (K=3),20,0.030632818800456534,0.026356332006486804,2000,1292
amazon,Last-Item,5,0.023766848011395034,0.01680672268907563,2000,1292
amazon,Last-Item,10,0.03106586374055782,0.021529927760577914,2000,1292
amazon,Last-Item,20,0.03872363355929366,0.02755602240896358,2000,1292
amazon,Avg-Last-10,5,0.01540370737461776,0.010649786230281587,2000,1292
amazon,Avg-Last-10,10,0.023549240549100174,0.019641014300457022,2000,1292
amazon,Avg-Last-10,20,0.033499366878335074,0.023123986436679934,2000,1292
amazon,Recency-Weighted,5,0.017018048594186475,0.010585286746277456,2000,1292
amazon,Recency-Weighted,10,0.0259963041236094,0.017927170868347338,2000,1292
amazon,Recency-Weighted,20,0.03565485928626174,0.023997493734335837,2000,1292
