dataset,system,k,recall@k,lt_recall@k,n_users,n_lt_users
lastfm,Essence (K=3),5,0.006376578913246375,0.0,99,92
lastfm,Essence (K=3),10,0.0119189386052952,0.005907372400756144,99,92
lastfm,Essence (K=3),20,0.01706452284118105,0.007034401052328974,99,92
lastfm,Last-Item,5,0.01639552530101442,0.004750217057369932,99,92
lastfm,Last-Item,10,0.02645831005876664,0.006439621621949812,99,92
lastfm,Last-Item,20,0.04309791702992536,0.016198854908532324,99,92
lastfm,Avg-Last-10,5,0.017130257361416237,0.009759233286582514,99,92
lastfm,Avg-Last-10,10,0.0251694050858757,0.013382421692379614,99,92
lastfm,Avg-Last-10,20,0.03349861159895469,0.014940782297023529,99,92
lastfm,Recency-Weighted,5,0.017671323098477222,0.010747375579072634,99,92
lastfm,Recency-Weighted,10,0.03036910336556811,0.015146961500397684,99,92
lastfm,Recency-Weighted,20,0.037998747362470484,0.019342012592363223,99,92
