user_id,silhouette,essence_recall,recency_recall,essence_lt,recency_lt,stratum
AE24IPP565CF2NWNDCSTYYGAWY5A,0.05177914351224899,0.0,0.0,,,medium
AE25PKP4DELQUP4EKOFRMTXG26GQ,0.10313823074102402,0.0,0.0,0.0,0.0,high
AE2BR5KVBCYRPJOE5QIJA522WD6A,0.08146139234304428,0.0,0.0,0.0,0.0,high
AE2EQIWFETMRHUOAQQ75IT7OYCWA,0.06330761313438416,0.0,0.1304347826086956,0.0,0.0,medium
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,0.12602248787879944,0.0,0.0,,,high
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,0.17406973242759705,0.2,0.2,,,high
AE2L54LBHP2INCTEHGS7IEAFQJIA,0.03460075706243515,0.0,0.0,0.0,0.0,low
AE2LYVGEMVGJLY4AKRKBUGATC7RA,0.04241471365094185,0.0,0.0,0.0,0.0,medium
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,0.04184800386428833,0.1111111111111111,0.0,0.0,0.0,medium
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,0.0356072336435318,0.0,0.0,0.0,0.0,low
AE2RM4MMMEI72LAIUE65SE6O3HYA,0.014988219365477562,0.0,0.0,0.0,0.0,low
AE34UEHMNFJNTDSCOKGUGGZN37LQ,0.03332936763763428,0.0,0.0,0.0,0.0,low
AE36QRRPB4KJXCCDF2O6RO3RHGEA,0.09171916544437408,0.0,0.0,,,high
AE3B52RNBKYNGB4W7OUKA2ZUKETA,0.022372759878635406,0.0,0.0,0.0,0.0,low
AE3CLQPNFWSWGO2DB43T34O3UUVA,0.1280308961868286,0.0,0.0,,,high
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,0.02425745315849781,0.0,0.0,0.0,0.0,low
AE3JIZUY5NFAZXIUPKYAIC43SICQ,0.11856803297996521,0.0,0.0,,,high
AE3NFC36AT3HIDJ5WJD3MFIJY33A,0.06041547656059265,0.0,0.0,,,medium
AE3NMEDUNWZRXX34BS4OARMGPIZQ,0.08807197958230972,0.0,0.0,0.0,0.0,high
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,0.01683301292359829,0.0,0.0,0.0,0.0,low
AE3QBHORIX77P4VSY56UGRH7JHKA,0.03176426142454147,0.0,0.0,0.0,0.0,low
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,0.029948659241199493,0.0,0.0,0.0,0.0,low
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,0.06439103931188583,0.0,0.0,0.0,0.0,medium
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,0.054305002093315125,0.0,0.0,0.0,0.0,medium
AE46IRBXL6OUQ4DYU2FTJOA4UBTQ,0.09888646006584167,0.8,0.8,,,high
AE4INHLQ3RJDSFLZKJ7435HZNZ3A,0.02317851409316063,0.0,0.0,0.0,0.0,low
AE4OENC32WCDOINT3W6IDUVQNX4A,0.15699951350688934,0.25,0.5,0.25,0.5,high
AE4QJLCBQH74DTKX3MN6JPSN22YQ,0.02726937271654606,0.0,0.0,0.0,0.0,low
AE4WNZBCEVA3EXBG2H33AQ2FG7PQ,0.02372092753648758,0.0,0.0,0.0,0.0,low
AE4Y3YEZRRMFC44WE74BCZQN5LRA,0.04361860826611519,0.0,0.0,0.0,0.0,medium
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,0.09600427001714706,0.0,0.0,,,high
AE55IIDFUIUGHAHTLOPEQDSW3IHA,0.03089408203959465,0.0,0.0,,,low
AE56DXBMRDCY5MHCAL24LQJR7AMA,0.12164685130119324,0.6666666666666666,0.3333333333333333,0.0,0.0,high
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,0.06772512942552567,0.0,0.0,,,high
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,0.028249114751815796,0.0,0.0,0.0,0.0,low
AE5HL767XRMBS7GT7S634WKBNQDQ,0.034207966178655624,0.0,0.0,0.0,0.0,low
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,0.03403710201382637,0.0,0.0,0.0,0.0,low
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,0.036250725388526917,0.0,0.0,0.0,0.0,low
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,0.0302884504199028,0.0,0.0,,,low
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,0.09197782725095749,0.0,0.0,,,high
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,0.07984170317649841,0.0,0.0,0.0,0.0,high
AE637SWDEZDSUOIQAR5MUU5CHOCA,0.03211017698049545,0.0,0.0,0.0,0.0,low
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,0.05721249058842659,0.0,0.0,,,medium
AE6462BTZG254SNA4VCUXPAQEAPA,0.05913708731532097,0.0,0.0,0.0,0.0,medium
AE6BA7CQPSS7F6UMPTJ5EBBMFN4Q,0.04170973226428032,0.0,0.0,,,medium
AE6BF5P4HYA3SMJFGKSEYDWTSGFQ,0.04728510603308678,0.0,0.0,0.0,0.0,medium
AE6DG6QAAH2XSB7HUDD76XMNBWYQ,0.09762575477361679,0.1111111111111111,0.0,0.0,0.0,high
AE6E2BZSOCL273XIXORZY3NQUOWQ,0.05032414197921753,0.0,0.0,0.0,0.0,medium
AE6FNRDQABKOSIPU6LQCHJWO6GJQ,0.059124480932950974,0.0,0.0,0.0,0.0,medium
AE6I32MGP77YFNCYJGPL7H6H6P4A,0.17786024510860443,0.1111111111111111,0.1111111111111111,,,high
AE6MB4X6USKHKVJFVUH5TLEQHZYQ,0.08832709491252899,0.0,0.0,0.0,0.0,high
AE6WSSXICM6NUXIT6VYPIITKGXPQ,0.0865366980433464,0.1428571428571428,0.2142857142857142,0.5,0.5,high
AE73S23OSGRJGKA65PW2TZISNTPQ,0.09396567940711975,0.0,0.0,,,high
AE76KLBIAF2DHSGCNBLOAL7ILN7A,0.11995954811573029,0.0,0.25,,,high
AE77XZ3PG7XMKTKPHHEZFEEET7QQ,0.04617238789796829,0.0,0.0,0.0,0.0,medium
AE7A2S24H674TMZF2ZCPNV4PKSMA,0.02120092883706093,0.0,0.0,0.0,0.0,low
