dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
Amazon Books (Pass 1),Recall@10,Essence (K=3),Random,0.022122,0.000117,0.022005,0.018440,0.025743,1.0000,0.2591,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),Popularity,0.022122,0.002122,0.020000,0.016249,0.024084,1.0000,0.2279,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),CF (ItemKNN),0.022122,0.003123,0.018999,0.015268,0.022980,1.0000,0.2192,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),Content (Avg Emb),0.022122,0.017307,0.004815,0.001811,0.007920,0.9992,0.0690,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),Last-Item,0.022122,0.031066,-0.008944,-0.013270,-0.004637,0.0000,-0.0900,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),Avg-Last-10,0.022122,0.023549,-0.001427,-0.004161,0.001318,0.1534,-0.0228,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),Recency-Weighted,0.022122,0.025996,-0.003875,-0.006833,-0.000982,0.0042,-0.0587,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),ComiRec (SA),0.022122,0.005554,0.016568,0.012934,0.020277,1.0000,0.1972,2000
Amazon Books (Pass 1),Recall@10,Essence (K=3),MIND,0.022122,0.005226,0.016896,0.013104,0.020739,1.0000,0.1976,2000
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Random,0.019706,0.000000,0.019706,0.013508,0.026612,1.0000,0.1625,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Popularity,0.019706,0.000000,0.019706,0.013204,0.026509,1.0000,0.1625,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),CF (ItemKNN),0.019706,0.013707,0.005998,-0.002304,0.014522,0.9249,0.0389,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Content (Avg Emb),0.019706,0.012410,0.007296,0.001135,0.013838,0.9900,0.0627,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Last-Item,0.019706,0.021530,-0.001824,-0.010450,0.007151,0.3478,-0.0113,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Avg-Last-10,0.019706,0.019641,0.000064,-0.006181,0.006153,0.5086,0.0006,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),Recency-Weighted,0.019706,0.017927,0.001778,-0.003789,0.007537,0.7309,0.0170,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),ComiRec (SA),0.019706,0.012126,0.007580,-0.000064,0.015467,0.9737,0.0532,1292
Amazon Books (Pass 1),LT-Recall@10,Essence (K=3),MIND,0.019706,0.005740,0.013965,0.007579,0.020859,1.0000,0.1140,1292
