decile,system,macro_recall@10,micro_recall@10,n_users_with_items_in_decile,total_hits,total_opportunities
1,Essence (K=3),0.017467348704773872,0.01919775245824879,1482,123,6407
1,Last-Item,0.029825783121602303,0.027313875448727955,1482,175,6407
1,Avg-Last-10,0.018292824685048614,0.019822069611362573,1482,127,6407
1,Recency-Weighted,0.02172415427736892,0.023255813953488372,1482,149,6407
2,Essence (K=3),0.017622334903575,0.02241618726443166,1524,113,5041
2,Last-Item,0.02510047325614352,0.028169014084507043,1524,142,5041
2,Avg-Last-10,0.02073193424193522,0.02519341400515771,1524,127,5041
2,Recency-Weighted,0.024792872210353502,0.02836738742313033,1524,143,5041
3,Essence (K=3),0.004098360655737705,0.006779661016949152,244,2,295
3,Last-Item,0.02459016393442623,0.023728813559322035,244,7,295
3,Avg-Last-10,0.00819672131147541,0.010169491525423728,244,3,295
3,Recency-Weighted,0.00819672131147541,0.010169491525423728,244,3,295
4,Essence (K=3),0.02168525402726146,0.021406727828746176,269,7,327
4,Last-Item,0.015179677819083023,0.024464831804281346,269,8,327
4,Avg-Last-10,0.005885997521685254,0.009174311926605505,269,3,327
4,Recency-Weighted,0.011462205700123915,0.01834862385321101,269,6,327
5,Essence (K=3),0.02694610778443114,0.022727272727272728,167,5,220
5,Last-Item,0.023952095808383235,0.022727272727272728,167,5,220
5,Avg-Last-10,0.023952095808383235,0.022727272727272728,167,5,220
5,Recency-Weighted,0.023952095808383235,0.022727272727272728,167,5,220
6,Essence (K=3),0.015050167224080268,0.017948717948717947,299,7,390
6,Last-Item,0.01309921962095875,0.020512820512820513,299,8,390
6,Avg-Last-10,0.01588628762541806,0.020512820512820513,299,8,390
6,Recency-Weighted,0.01588628762541806,0.020512820512820513,299,8,390
7,Essence (K=3),0.0048543689320388345,0.004291845493562232,206,1,233
7,Last-Item,0.009708737864077669,0.008583690987124463,206,2,233
7,Avg-Last-10,0.014563106796116505,0.012875536480686695,206,3,233
7,Recency-Weighted,0.009708737864077669,0.008583690987124463,206,2,233
8,Essence (K=3),0.02217741935483871,0.02127659574468085,248,7,329
8,Last-Item,0.03225806451612903,0.0243161094224924,248,8,329
8,Avg-Last-10,0.016129032258064516,0.015197568389057751,248,5,329
8,Recency-Weighted,0.016129032258064516,0.015197568389057751,248,5,329
9,Essence (K=3),0.015581780538302276,0.019230769230769232,575,18,936
9,Last-Item,0.023022774327122155,0.030982905982905984,575,29,936
9,Avg-Last-10,0.01860869565217391,0.019230769230769232,575,18,936
9,Recency-Weighted,0.015420289855072464,0.016025641025641024,575,15,936
10,Essence (K=3),0.008791208791208791,0.008311688311688312,910,16,1925
10,Last-Item,0.012915140415140415,0.014025974025974027,910,27,1925
10,Avg-Last-10,0.0059340659340659345,0.006753246753246753,910,13,1925
10,Recency-Weighted,0.006520146520146521,0.007272727272727273,910,14,1925
