decile,system,recall@10,n_opportunities
1,Random,0.000505050505050505,99
1,Popularity,0.0,99
1,CF (ItemKNN),0.0,99
1,Content (Avg Emb),0.0021552303764020486,99
1,Last-Item,0.024533667515740563,99
1,Avg-Last-10,0.02175324946291761,99
1,Recency-Weighted,0.024838832428179726,99
1,Essence (K=3),0.008635448363612356,99
2,Random,0.00036075036075036075,99
2,Popularity,0.0,99
2,CF (ItemKNN),0.0,99
2,Content (Avg Emb),0.00439490943670672,99
2,Last-Item,0.03125343829040636,99
2,Avg-Last-10,0.028068513467077377,99
2,Recency-Weighted,0.038054189518906954,99
2,Essence (K=3),0.01715577850213301,99
3,Random,0.0,53
3,Popularity,0.0,53
3,CF (ItemKNN),0.0,53
3,Content (Avg Emb),0.0,53
3,Last-Item,0.0,53
3,Avg-Last-10,0.0,53
3,Recency-Weighted,0.0,53
3,Essence (K=3),0.0,53
4,Random,0.0,59
4,Popularity,0.0,59
4,CF (ItemKNN),0.0,59
4,Content (Avg Emb),0.012711864406779662,59
4,Last-Item,0.00423728813559322,59
4,Avg-Last-10,0.0211864406779661,59
4,Recency-Weighted,0.0211864406779661,59
4,Essence (K=3),0.00847457627118644,59
5,Random,0.0,55
5,Popularity,0.0,55
5,CF (ItemKNN),0.0,55
5,Content (Avg Emb),0.00909090909090909,55
5,Last-Item,0.0,55
5,Avg-Last-10,0.0,55
5,Recency-Weighted,0.0,55
5,Essence (K=3),0.0,55
6,Random,0.0,55
6,Popularity,0.0,55
6,CF (ItemKNN),0.0,55
6,Content (Avg Emb),0.012121212121212121,55
6,Last-Item,0.010606060606060605,55
6,Avg-Last-10,0.01818181818181818,55
6,Recency-Weighted,0.022727272727272728,55
6,Essence (K=3),0.01818181818181818,55
7,Random,0.0,58
7,Popularity,0.0,58
7,CF (ItemKNN),0.0,58
7,Content (Avg Emb),0.004310344827586207,58
7,Last-Item,0.004310344827586207,58
7,Avg-Last-10,0.004310344827586207,58
7,Recency-Weighted,0.021551724137931036,58
7,Essence (K=3),0.0,58
8,Random,0.0,54
8,Popularity,0.0,54
8,CF (ItemKNN),0.0,54
8,Content (Avg Emb),0.0,54
8,Last-Item,0.0205761316872428,54
8,Avg-Last-10,0.018518518518518517,54
8,Recency-Weighted,0.018518518518518517,54
8,Essence (K=3),0.0,54
9,Random,0.0,44
9,Popularity,0.0,44
9,CF (ItemKNN),0.0,44
9,Content (Avg Emb),0.0,44
9,Last-Item,0.0,44
9,Avg-Last-10,0.0,44
9,Recency-Weighted,0.0,44
9,Essence (K=3),0.0,44
10,Random,0.0,73
10,Popularity,0.029040522259594317,73
10,CF (ItemKNN),0.02002298527066329,73
10,Content (Avg Emb),0.0009784735812133072,73
10,Last-Item,0.0012453300124533001,73
10,Avg-Last-10,0.0017123287671232876,73
10,Recency-Weighted,0.0023972602739726024,73
10,Essence (K=3),0.0009784735812133072,73
