user_id,system,recall@10,long_tail_recall@10
67,Random,0.0,0.0
67,Popularity,0.0,0.0
67,CF (ItemKNN),0.04,0.0
67,Content (Avg Emb),0.0,0.0
67,Last-Item,0.0,0.0
67,Avg-Last-10,0.0,0.0
67,Recency-Weighted,0.04,0.0
67,Essence (K=3),0.0,0.0
92,Random,0.0,
92,Popularity,0.1666666666666666,
92,CF (ItemKNN),0.1111111111111111,
92,Content (Avg Emb),0.0,
92,Last-Item,0.0,
92,Avg-Last-10,0.0,
92,Recency-Weighted,0.0,
92,Essence (K=3),0.0,
182,Random,0.0,0.0
182,Popularity,0.0,0.0
182,CF (ItemKNN),0.0,0.0
182,Content (Avg Emb),0.0,0.0
182,Last-Item,0.0,0.0
182,Avg-Last-10,0.0,0.0
182,Recency-Weighted,0.0,0.0
182,Essence (K=3),0.0,0.0
264,Random,0.0,
264,Popularity,0.125,
264,CF (ItemKNN),0.0,
264,Content (Avg Emb),0.0,
264,Last-Item,0.0,
264,Avg-Last-10,0.0,
264,Recency-Weighted,0.0,
264,Essence (K=3),0.0,
335,Random,0.0,
335,Popularity,0.0,
335,CF (ItemKNN),0.0,
335,Content (Avg Emb),0.0,
335,Last-Item,0.0,
335,Avg-Last-10,0.0,
335,Recency-Weighted,0.0,
335,Essence (K=3),0.0,
400,Random,0.0,
400,Popularity,0.0,
400,CF (ItemKNN),0.0454545454545454,
400,Content (Avg Emb),0.0,
400,Last-Item,0.0,
400,Avg-Last-10,0.0454545454545454,
400,Recency-Weighted,0.0,
400,Essence (K=3),0.0,
419,Random,0.0,
419,Popularity,0.0833333333333333,
419,CF (ItemKNN),0.0,
419,Content (Avg Emb),0.0,
419,Last-Item,0.0833333333333333,
419,Avg-Last-10,0.0,
419,Recency-Weighted,0.0,
419,Essence (K=3),0.0,
509,Random,0.0,
509,Popularity,0.0,
509,CF (ItemKNN),0.1428571428571428,
509,Content (Avg Emb),0.0,
509,Last-Item,0.0,
509,Avg-Last-10,0.0,
509,Recency-Weighted,0.0,
509,Essence (K=3),0.0,
559,Random,0.0,
559,Popularity,0.0,
559,CF (ItemKNN),0.0,
559,Content (Avg Emb),0.0,
559,Last-Item,0.0,
559,Avg-Last-10,0.0,
559,Recency-Weighted,0.0,
559,Essence (K=3),0.0,
890,Random,0.0,
890,Popularity,0.0,
890,CF (ItemKNN),0.6,
890,Content (Avg Emb),0.0,
890,Last-Item,0.0,
890,Avg-Last-10,0.0,
890,Recency-Weighted,0.0,
890,Essence (K=3),0.0,
953,Random,0.0,
953,Popularity,0.0,
953,CF (ItemKNN),0.0833333333333333,
953,Content (Avg Emb),0.0,
953,Last-Item,0.0,
953,Avg-Last-10,0.0,
953,Recency-Weighted,0.0,
953,Essence (K=3),0.0,
1049,Random,0.0,
1049,Popularity,0.1,
1049,CF (ItemKNN),0.1,
1049,Content (Avg Emb),0.0,
1049,Last-Item,0.0,
1049,Avg-Last-10,0.0,
1049,Recency-Weighted,0.0,
1049,Essence (K=3),0.0,
1159,Random,0.0,0.0
1159,Popularity,0.0,0.0
1159,CF (ItemKNN),0.0,0.0
1159,Content (Avg Emb),0.0,0.0
1159,Last-Item,0.0,0.0
1159,Avg-Last-10,0.0,0.0
1159,Recency-Weighted,0.0,0.0
1159,Essence (K=3),0.0,0.0
1264,Random,0.0,
1264,Popularity,0.125,
1264,CF (ItemKNN),0.375,
1264,Content (Avg Emb),0.0,
1264,Last-Item,0.125,
1264,Avg-Last-10,0.0,
1264,Recency-Weighted,0.0,
1264,Essence (K=3),0.0,
1310,Random,0.0,
1310,Popularity,0.0,
1310,CF (ItemKNN),0.0,
1310,Content (Avg Emb),0.0,
1310,Last-Item,0.0,
1310,Avg-Last-10,0.0,
1310,Recency-Weighted,0.0,
1310,Essence (K=3),0.0,
1510,Random,0.0,
1510,Popularity,0.0,
1510,CF (ItemKNN),0.0,
1510,Content (Avg Emb),0.0,
1510,Last-Item,0.0,
1510,Avg-Last-10,0.0,
1510,Recency-Weighted,0.0,
1510,Essence (K=3),0.0,
1523,Random,0.0,
1523,Popularity,0.0,
1523,CF (ItemKNN),0.0,
1523,Content (Avg Emb),0.0,
1523,Last-Item,0.0,
1523,Avg-Last-10,0.0,
1523,Recency-Weighted,0.0,
1523,Essence (K=3),0.0,
1568,Random,0.0,
1568,Popularity,0.0,
1568,CF (ItemKNN),0.0,
1568,Content (Avg Emb),0.0,
1568,Last-Item,0.0,
1568,Avg-Last-10,0.0,
1568,Recency-Weighted,0.0,
1568,Essence (K=3),0.0,
1649,Random,0.0,0.0
1649,Popularity,0.0,0.0
1649,CF (ItemKNN),0.0,0.0
1649,Content (Avg Emb),0.0,0.0
1649,Last-Item,0.0,0.0
1649,Avg-Last-10,0.0,0.0
1649,Recency-Weighted,0.0,0.0
1649,Essence (K=3),0.0,0.0
1873,Random,0.0,
1873,Popularity,0.0,
1873,CF (ItemKNN),0.0,
1873,Content (Avg Emb),0.0,
1873,Last-Item,0.0,
1873,Avg-Last-10,0.0,
1873,Recency-Weighted,0.0,
1873,Essence (K=3),0.0,
2002,Random,0.0,
2002,Popularity,0.0,
2002,CF (ItemKNN),0.0476190476190476,
2002,Content (Avg Emb),0.0,
2002,Last-Item,0.0,
2002,Avg-Last-10,0.0,
2002,Recency-Weighted,0.0,
2002,Essence (K=3),0.0,
2063,Random,0.125,
2063,Popularity,0.0,
2063,CF (ItemKNN),0.0,
2063,Content (Avg Emb),0.0,
2063,Last-Item,0.0,
2063,Avg-Last-10,0.0,
2063,Recency-Weighted,0.0,
2063,Essence (K=3),0.0,
2226,Random,0.0,
2226,Popularity,0.037037037037037,
2226,CF (ItemKNN),0.037037037037037,
2226,Content (Avg Emb),0.0,
2226,Last-Item,0.0,
2226,Avg-Last-10,0.037037037037037,
2226,Recency-Weighted,0.0,
2226,Essence (K=3),0.0,
2260,Random,0.0,
2260,Popularity,0.2222222222222222,
2260,CF (ItemKNN),0.0,
2260,Content (Avg Emb),0.0,
2260,Last-Item,0.0,
2260,Avg-Last-10,0.0,
2260,Recency-Weighted,0.0,
2260,Essence (K=3),0.0,
2297,Random,0.0,
2297,Popularity,0.125,
2297,CF (ItemKNN),0.125,
2297,Content (Avg Emb),0.0,
2297,Last-Item,0.0,
2297,Avg-Last-10,0.0,
2297,Recency-Weighted,0.0,
2297,Essence (K=3),0.0,
2396,Random,0.0,
2396,Popularity,0.2857142857142857,
2396,CF (ItemKNN),0.4285714285714285,
2396,Content (Avg Emb),0.0,
2396,Last-Item,0.0,
2396,Avg-Last-10,0.0,
2396,Recency-Weighted,0.0,
2396,Essence (K=3),0.0,
2501,Random,0.0,
2501,Popularity,0.0,
2501,CF (ItemKNN),0.0,
2501,Content (Avg Emb),0.0,
2501,Last-Item,0.0,
2501,Avg-Last-10,0.0,
2501,Recency-Weighted,0.0,
2501,Essence (K=3),0.0,
2810,Random,0.0,
2810,Popularity,0.0,
2810,CF (ItemKNN),0.0,
2810,Content (Avg Emb),0.0,
2810,Last-Item,0.0,
2810,Avg-Last-10,0.0,
2810,Recency-Weighted,0.0,
2810,Essence (K=3),0.0,
3146,Random,0.0,
3146,Popularity,0.0,
3146,CF (ItemKNN),0.0,
3146,Content (Avg Emb),0.0,
3146,Last-Item,0.0,
3146,Avg-Last-10,0.0,
3146,Recency-Weighted,0.0,
3146,Essence (K=3),0.0,
3161,Random,0.0,
3161,Popularity,0.1666666666666666,
3161,CF (ItemKNN),0.1666666666666666,
3161,Content (Avg Emb),0.0,
3161,Last-Item,0.0,
3161,Avg-Last-10,0.0,
3161,Recency-Weighted,0.0,
3161,Essence (K=3),0.0,
3171,Random,0.0,
3171,Popularity,0.0,
3171,CF (ItemKNN),0.0,
3171,Content (Avg Emb),0.0,
3171,Last-Item,0.0,
3171,Avg-Last-10,0.0,
3171,Recency-Weighted,0.0,
3171,Essence (K=3),0.0,
3307,Random,0.0,
3307,Popularity,0.0,
3307,CF (ItemKNN),0.0909090909090909,
