dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Random,0.025336,0.000117,0.025219,0.021428,0.029294,1.0000,0.2823,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Popularity,0.025336,0.002122,0.023214,0.019261,0.027405,1.0000,0.2521,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),CF (ItemKNN),0.025336,0.003123,0.022213,0.018284,0.026451,1.0000,0.2432,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Content (Avg Emb),0.025336,0.017307,0.008029,0.004568,0.011563,1.0000,0.0988,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Last-Item,0.025336,0.031066,-0.005730,-0.010114,-0.001416,0.0047,-0.0577,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Avg-Last-10,0.025336,0.023549,0.001786,-0.001230,0.004824,0.8777,0.0260,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),Recency-Weighted,0.025336,0.025996,-0.000661,-0.003747,0.002517,0.3444,-0.0093,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),ComiRec (SA),0.025336,0.005554,0.019782,0.015923,0.023760,1.0000,0.2202,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),MIND,0.025336,0.005226,0.020110,0.016225,0.023934,1.0000,0.2234,2000
Amazon Books + BPR-MF,Recall@10,Essence (K=10),BPR-MF,0.025336,0.001507,0.023828,0.019977,0.027896,1.0000,0.2606,2000
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Random,0.020701,0.000000,0.020701,0.014319,0.027602,1.0000,0.1686,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Popularity,0.020701,0.000000,0.020701,0.014370,0.027670,1.0000,0.1686,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),CF (ItemKNN),0.020701,0.013707,0.006994,-0.001465,0.015489,0.9497,0.0449,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Content (Avg Emb),0.020701,0.012410,0.008291,0.000873,0.015837,0.9862,0.0608,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Last-Item,0.020701,0.021530,-0.000829,-0.008953,0.007549,0.4221,-0.0055,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Avg-Last-10,0.020701,0.019641,0.001060,-0.005586,0.007858,0.6270,0.0087,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),Recency-Weighted,0.020701,0.017927,0.002773,-0.003264,0.009172,0.8114,0.0243,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),ComiRec (SA),0.020701,0.012126,0.008575,0.000770,0.016512,0.9856,0.0591,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),MIND,0.020701,0.005740,0.014960,0.008359,0.021991,1.0000,0.1190,1292
Amazon Books + BPR-MF,LT-Recall@10,Essence (K=10),BPR-MF,0.020701,0.000000,0.020701,0.014411,0.027516,1.0000,0.1686,1292
