decile,system,recall@10,n_opportunities
1,Essence (K=10),0.021509601465863195,1482
1,Last-Item,0.029825783121602303,1482
1,Avg-Last-10,0.018292824685048614,1482
1,Recency-Weighted,0.02172415427736892,1482
2,Essence (K=10),0.022373511672361648,1524
2,Last-Item,0.02510047325614352,1524
2,Avg-Last-10,0.02073193424193522,1524
2,Recency-Weighted,0.024792872210353502,1524
3,Essence (K=10),0.00546448087431694,244
3,Last-Item,0.02459016393442623,244
3,Avg-Last-10,0.00819672131147541,244
3,Recency-Weighted,0.00819672131147541,244
4,Essence (K=10),0.026332094175960347,269
4,Last-Item,0.015179677819083023,269
4,Avg-Last-10,0.005885997521685254,269
4,Recency-Weighted,0.011462205700123915,269
5,Essence (K=10),0.02694610778443114,167
5,Last-Item,0.023952095808383235,167
5,Avg-Last-10,0.023952095808383235,167
5,Recency-Weighted,0.023952095808383235,167
6,Essence (K=10),0.02452619843924192,299
6,Last-Item,0.01309921962095875,299
6,Avg-Last-10,0.01588628762541806,299
6,Recency-Weighted,0.01588628762541806,299
7,Essence (K=10),0.009708737864077669,206
7,Last-Item,0.009708737864077669,206
7,Avg-Last-10,0.014563106796116505,206
7,Recency-Weighted,0.009708737864077669,206
8,Essence (K=10),0.014112903225806451,248
8,Last-Item,0.03225806451612903,248
8,Avg-Last-10,0.016129032258064516,248
8,Recency-Weighted,0.016129032258064516,248
9,Essence (K=10),0.016202898550724636,575
9,Last-Item,0.023022774327122155,575
9,Avg-Last-10,0.01860869565217391,575
9,Recency-Weighted,0.015420289855072464,575
10,Essence (K=10),0.008095238095238096,910
10,Last-Item,0.012915140415140415,910
10,Avg-Last-10,0.0059340659340659345,910
10,Recency-Weighted,0.006520146520146521,910
