decile,system,recall@10,n_opportunities
1,Essence (K=15),0.00921237693389592,474
1,CF (ItemKNN),0.0,474
1,Last-Item,0.0037505860290670415,474
1,Avg-Last-10,0.005786618444846293,474
1,Recency-Weighted,0.005036501239032884,474
2,Essence (K=15),0.0028714713257300003,317
2,CF (ItemKNN),0.00473186119873817,317
2,Last-Item,0.0007886435331230284,317
2,Avg-Last-10,0.00473186119873817,317
2,Recency-Weighted,0.00473186119873817,317
3,Essence (K=15),0.006666666666666667,150
3,CF (ItemKNN),0.0,150
3,Last-Item,0.0,150
3,Avg-Last-10,0.006666666666666667,150
3,Recency-Weighted,0.006666666666666667,150
4,Essence (K=15),0.0016129032258064516,155
4,CF (ItemKNN),0.0,155
4,Last-Item,0.00967741935483871,155
4,Avg-Last-10,0.0032258064516129032,155
4,Recency-Weighted,0.0064516129032258064,155
5,Essence (K=15),0.000992063492063492,336
5,CF (ItemKNN),0.000992063492063492,336
5,Last-Item,0.000992063492063492,336
5,Avg-Last-10,0.0,336
5,Recency-Weighted,0.004464285714285714,336
6,Essence (K=15),0.00341235632183908,464
6,CF (ItemKNN),0.0017959770114942526,464
6,Last-Item,0.005387931034482759,464
6,Avg-Last-10,0.008210180623973728,464
6,Recency-Weighted,0.012520525451559935,464
7,Essence (K=15),0.005244755244755245,715
7,CF (ItemKNN),0.004195804195804196,715
7,Last-Item,0.011305361305361304,715
7,Avg-Last-10,0.009906759906759906,715
7,Recency-Weighted,0.009254079254079254,715
8,Essence (K=15),0.0060610451076982515,986
8,CF (ItemKNN),0.002281947261663286,986
8,Last-Item,0.008089442673621173,986
8,Avg-Last-10,0.00919379245951254,986
8,Recency-Weighted,0.00679915644418687,986
9,Essence (K=15),0.006341568144143252,1398
9,CF (ItemKNN),0.0007749165474487363,1398
9,Last-Item,0.008893425363382446,1398
9,Avg-Last-10,0.004365035695507799,1398
9,Recency-Weighted,0.0049997729182278535,1398
10,Essence (K=15),0.0051842249390469,1935
10,CF (ItemKNN),0.1176981515533524,1935
10,Last-Item,0.0093924238640664,1935
10,Avg-Last-10,0.006104529581641765,1935
10,Recency-Weighted,0.007555000080219879,1935
