dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Random,0.001432,0.000000,0.001432,0.000000,0.003635,0.8696,0.2715,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Popularity,0.001432,0.060239,-0.058807,-0.095430,-0.028960,0.0000,-0.6430,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),CF (ItemKNN),0.001432,0.034382,-0.032949,-0.053511,-0.015687,0.0000,-0.6424,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Content (Avg Emb),0.001432,0.002381,-0.000948,-0.002534,0.000000,0.0000,-0.2564,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Last-Item,0.001432,0.002020,-0.000588,-0.003750,0.002568,0.3731,-0.0688,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Avg-Last-10,0.001432,0.002404,-0.000972,-0.002605,0.000000,0.0000,-0.2550,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",Recall@10,Essence (K=15),Recency-Weighted,0.001432,0.004864,-0.003432,-0.009267,0.000257,0.0470,-0.2439,28
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Random,0.002451,0.000000,0.002451,0.000000,0.007353,0.6445,0.2041,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Popularity,0.002451,0.000000,0.002451,0.000000,0.007353,0.6436,0.2041,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),CF (ItemKNN),0.002451,0.000000,0.002451,0.000000,0.007353,0.6385,0.2041,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Content (Avg Emb),0.002451,0.002451,0.000000,0.000000,0.000000,0.0000,nan,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Last-Item,0.002451,0.000000,0.002451,0.000000,0.007353,0.6502,0.2041,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Avg-Last-10,0.002451,0.002451,0.000000,0.000000,0.000000,0.0000,nan,24
"MovieLens-25M (global cutoff) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Recency-Weighted,0.002451,0.002451,0.000000,0.000000,0.000000,0.0000,nan,24
