user_id,tier,essence_recall@10,recency_recall@10,essence_lt@10,recency_lt@10
AE24IPP565CF2NWNDCSTYYGAWY5A,high,0.0,0.0,,
AE25PKP4DELQUP4EKOFRMTXG26GQ,medium,0.0,0.0,,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,medium,0.0,0.0,,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,high,0.0,0.0,,
AE2L54LBHP2INCTEHGS7IEAFQJIA,medium,0.06666666666666667,0.0,0.0,0.0
AE2LYVGEMVGJLY4AKRKBUGATC7RA,medium,0.0,0.0,0.0,0.0
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,medium,0.0,0.0,,
AE34UEHMNFJNTDSCOKGUGGZN37LQ,medium,0.0,0.0,,
AE36QRRPB4KJXCCDF2O6RO3RHGEA,medium,0.0,0.0,,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,low,0.0,0.0,0.0,0.0
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,medium,0.0,0.0,,
AE3QBHORIX77P4VSY56UGRH7JHKA,medium,0.0,0.0,,
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,medium,0.0,0.0,0.0,0.0
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,high,0.0,0.0,,
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,medium,0.0,0.0,,
AE4QJLCBQH74DTKX3MN6JPSN22YQ,low,0.0,0.0,,
AE4WNZBCEVA3EXBG2H33AQ2FG7PQ,low,0.0,0.0,0.0,0.0
AE4Y3YEZRRMFC44WE74BCZQN5LRA,medium,0.0,0.0,,
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,high,0.0,0.0,,
AE56DXBMRDCY5MHCAL24LQJR7AMA,high,0.0,0.0,,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,low,0.0,0.0,0.0,0.0
AE5HL767XRMBS7GT7S634WKBNQDQ,low,0.0,0.0,,
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,medium,0.0,0.0,,
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,low,0.0,0.0,,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,medium,0.0,0.0,0.0,0.0
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,high,0.0,0.0,0.0,0.0
AE637SWDEZDSUOIQAR5MUU5CHOCA,high,0.0,0.0,0.0,0.0
