k_nn,shrinkage,val_recall@10
,0,0.007298871772916765
,5,0.00978671353641642
,10,0.010675404012606898
,25,0.010862904012606898
,100,0.010732180569383456
50.0,0,0.005691502046015833
50.0,5,0.008587353416867203
50.0,10,0.009124853416867204
50.0,25,0.009367710559724348
50.0,100,0.009701822048122762
100.0,0,0.005931303230348222
100.0,5,0.008883430708133595
100.0,10,0.009429859279562166
100.0,25,0.009463192612895497
100.0,100,0.009585811660514547
200.0,0,0.0071839177211206065
200.0,5,0.009091872266575152
200.0,10,0.009604967504670391
200.0,25,0.009872824647527534
200.0,100,0.009872824647527534
500.0,0,0.007298871772916765
500.0,5,0.00984028496498785
500.0,10,0.010603975441178326
500.0,25,0.010791475441178327
500.0,100,0.010660751997954883
