k_nn,shrinkage,val_recall@10
,0,0.002152261843067405
,5,0.002192739203190863
,10,0.0023583295327156187
,25,0.0022436294180155037
,100,0.0022436294180155037
50.0,0,0.0024242424242424242
50.0,5,0.0024242424242424242
50.0,10,0.0024242424242424242
50.0,25,0.0024242424242424242
50.0,100,0.002560742560742561
100.0,0,0.002185792349726776
100.0,5,0.00202020202020202
100.0,10,0.00202020202020202
100.0,25,0.00202020202020202
100.0,100,0.00202020202020202
200.0,0,0.0011657576340398865
200.0,5,0.0011657576340398865
200.0,10,0.0011657576340398865
200.0,25,0.0011657576340398865
200.0,100,0.0011657576340398865
500.0,0,0.002115063817855681
500.0,5,0.00277603861405677
500.0,10,0.00277603861405677
500.0,25,0.00277603861405677
500.0,100,0.00277603861405677
