k_nn,shrinkage,val_recall@10
,0,0.09922884575755762
,5,0.09768951403584764
,10,0.09544108654293382
,25,0.09581486541402073
,100,0.09402168366559797
50.0,0,0.09228466921853345
50.0,5,0.0959732326717396
50.0,10,0.09454335170840068
50.0,25,0.09428396712695317
50.0,100,0.0921241740369434
100.0,0,0.09680294215421527
100.0,5,0.0957604169340745
100.0,10,0.09443194301388691
100.0,25,0.09524799853183989
100.0,100,0.09407948617835081
200.0,0,0.09720677082963058
200.0,5,0.09615410646187512
200.0,10,0.09537775369448
200.0,25,0.0956196188816742
200.0,100,0.09401285774614707
500.0,0,0.09811654510313726
500.0,5,0.09768895593803148
500.0,10,0.09553054200721396
500.0,25,0.0955632736943369
500.0,100,0.09402168366559797
