user_id,system,recall@10,long_tail_recall@10
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Random,0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Popularity,0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,CF (ItemKNN),0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Content (Avg Emb),0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Last-Item,0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Avg-Last-10,0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Recency-Weighted,0.0,0.0
AE22QREQKPIH3UAJZ4S6JQYJN7SQ,Essence (K=10),0.041666666666666664,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Random,0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Popularity,0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,CF (ItemKNN),0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Content (Avg Emb),0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Last-Item,0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Avg-Last-10,0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Recency-Weighted,0.0,0.0
AE25KZVYXLI225BINWTSSPZF5UYA,Essence (K=10),0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Random,0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Popularity,0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,CF (ItemKNN),0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Content (Avg Emb),0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Last-Item,0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Avg-Last-10,0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Recency-Weighted,0.0,0.0
AE26SX7LMLO2K4PEYRNPKHFLLQZA,Essence (K=10),0.0,0.0
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Random,0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Popularity,0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,CF (ItemKNN),0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Content (Avg Emb),0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Last-Item,0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Avg-Last-10,0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Recency-Weighted,0.0,
AE2CIYVTHRNDZWFBKNZLPE6CIOPQ,Essence (K=10),0.0,
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Random,0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Popularity,0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,CF (ItemKNN),0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Content (Avg Emb),0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Last-Item,0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Avg-Last-10,0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Recency-Weighted,0.0,0.0
AE2DBSRSZKRSQPCI5VPXWPNP4TFQ,Essence (K=10),0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,Random,0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,Popularity,0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,CF (ItemKNN),0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,Content (Avg Emb),0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,Last-Item,0.0,0.0
AE2G6GBCSK3JWF4B3M6DIF6ALEPA,Avg-Last-10,0.0,0.0
