dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Random,0.005628,0.001193,0.004435,0.002921,0.006162,1.0000,0.1203,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Popularity,0.005628,0.049480,-0.043852,-0.048550,-0.039205,0.0000,-0.4191,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),CF (ItemKNN),0.005628,0.082530,-0.076902,-0.083052,-0.070807,0.0000,-0.5473,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Content (Avg Emb),0.005628,0.003835,0.001793,0.000180,0.003554,0.9855,0.0462,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Last-Item,0.005628,0.009029,-0.003400,-0.005269,-0.001580,0.0000,-0.0805,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Avg-Last-10,0.005628,0.004881,0.000747,-0.000729,0.002421,0.8208,0.0206,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",Recall@10,Essence (K=15),Recency-Weighted,0.005628,0.005724,-0.000095,-0.001467,0.001332,0.4444,-0.0030,2000
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Random,0.006346,0.000000,0.006346,0.001371,0.012693,0.9976,0.1006,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Popularity,0.006346,0.000000,0.006346,0.001371,0.012793,0.9979,0.1006,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),CF (ItemKNN),0.006346,0.000000,0.006346,0.001371,0.012742,0.9978,0.1006,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Content (Avg Emb),0.006346,0.004569,0.001777,-0.002132,0.006041,0.7664,0.0415,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Last-Item,0.006346,0.007996,-0.001650,-0.010661,0.006702,0.3536,-0.0174,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Avg-Last-10,0.006346,0.006041,0.000305,-0.005686,0.005330,0.5521,0.0050,469
"MovieLens-25M (seed=43) (rating>=4, K=15)",LT-Recall@10,Essence (K=15),Recency-Weighted,0.006346,0.006574,-0.000228,-0.006219,0.004924,0.4817,-0.0037,469
