user_id,system,recall@10,long_tail_recall@10
86,Random,0.0,
86,Popularity,0.0,
86,CF (ItemKNN),0.0,
86,Content (Avg Emb),0.0,
86,Last-Item,0.0,
86,Avg-Last-10,0.0,
86,Recency-Weighted,0.0,
86,Essence (K=15),0.0,
115,Random,0.0,
115,Popularity,0.0,
115,CF (ItemKNN),0.0,
115,Content (Avg Emb),0.0,
115,Last-Item,0.0,
115,Avg-Last-10,0.0,
115,Recency-Weighted,0.0,
115,Essence (K=15),0.0,
195,Random,0.0,0.0
195,Popularity,0.0,0.0
195,CF (ItemKNN),0.2,0.0
195,Content (Avg Emb),0.0,0.0
195,Last-Item,0.05,0.0
195,Avg-Last-10,0.0,0.0
195,Recency-Weighted,0.0,0.0
195,Essence (K=15),0.0,0.0
272,Random,0.0,0.0
272,Popularity,0.0,0.0
272,CF (ItemKNN),0.0,0.0
272,Content (Avg Emb),0.1111111111111111,0.0
272,Last-Item,0.1111111111111111,0.0
272,Avg-Last-10,0.0,0.0
272,Recency-Weighted,0.0,0.0
272,Essence (K=15),0.0,0.0
339,Random,0.0,
339,Popularity,0.2,
339,CF (ItemKNN),0.2,
339,Content (Avg Emb),0.0,
339,Last-Item,0.0,
339,Avg-Last-10,0.0,
339,Recency-Weighted,0.0,
339,Essence (K=15),0.0,
392,Random,0.0,
392,Popularity,0.0,
392,CF (ItemKNN),0.0,
392,Content (Avg Emb),0.0,
392,Last-Item,0.14285714285714285,
392,Avg-Last-10,0.0,
392,Recency-Weighted,0.14285714285714285,
392,Essence (K=15),0.14285714285714285,
410,Random,0.0,0.0
410,Popularity,0.045454545454545456,0.0
410,CF (ItemKNN),0.09090909090909091,0.0
410,Content (Avg Emb),0.0,0.0
410,Last-Item,0.0,0.0
410,Avg-Last-10,0.0,0.0
410,Recency-Weighted,0.0,0.0
410,Essence (K=15),0.0,0.0
773,Random,0.0,
773,Popularity,0.16666666666666666,
773,CF (ItemKNN),0.0,
773,Content (Avg Emb),0.0,
773,Last-Item,0.0,
773,Avg-Last-10,0.0,
773,Recency-Weighted,0.0,
773,Essence (K=15),0.0,
931,Random,0.0,
931,Popularity,0.0,
931,CF (ItemKNN),0.8333333333333334,
931,Content (Avg Emb),0.0,
931,Last-Item,0.0,
931,Avg-Last-10,0.0,
931,Recency-Weighted,0.0,
931,Essence (K=15),0.0,
989,Random,0.0,
989,Popularity,0.0,
989,CF (ItemKNN),0.0,
989,Content (Avg Emb),0.0,
