user_id,system,recall@10,long_tail_recall@10
67,Random,0.0,0.0
67,Popularity,0.0,0.0
67,CF (ItemKNN),0.0,0.0
67,Content (Avg Emb),0.0,0.0
67,Last-Item,0.0,0.0
67,Avg-Last-10,0.0,0.0
67,Recency-Weighted,0.0,0.0
67,Essence (K=15),0.0,0.0
92,Random,0.0,
92,Popularity,0.07692307692307693,
92,CF (ItemKNN),0.07692307692307693,
92,Content (Avg Emb),0.0,
92,Last-Item,0.0,
92,Avg-Last-10,0.0,
92,Recency-Weighted,0.0,
92,Essence (K=15),0.0,
264,Random,0.0,0.0
264,Popularity,0.0,0.0
264,CF (ItemKNN),0.0,0.0
264,Content (Avg Emb),0.0,0.0
264,Last-Item,0.0,0.0
264,Avg-Last-10,0.0,0.0
264,Recency-Weighted,0.0,0.0
264,Essence (K=15),0.0,0.0
335,Random,0.0,0.0
335,Popularity,0.0,0.0
335,CF (ItemKNN),0.0,0.0
335,Content (Avg Emb),0.0,0.0
335,Last-Item,0.0,0.0
335,Avg-Last-10,0.0,0.0
335,Recency-Weighted,0.0,0.0
335,Essence (K=15),0.14285714285714285,0.0
400,Random,0.0,0.0
400,Popularity,0.0,0.0
400,CF (ItemKNN),0.05,0.0
400,Content (Avg Emb),0.0,0.0
400,Last-Item,0.0,0.0
400,Avg-Last-10,0.0,0.0
400,Recency-Weighted,0.0,0.0
400,Essence (K=15),0.0,0.0
419,Random,0.0,
419,Popularity,0.0,
419,CF (ItemKNN),0.0,
419,Content (Avg Emb),0.0,
419,Last-Item,0.0,
419,Avg-Last-10,0.0,
419,Recency-Weighted,0.0,
419,Essence (K=15),0.0,
559,Random,0.0,0.0
559,Popularity,0.0,0.0
559,CF (ItemKNN),0.0,0.0
559,Content (Avg Emb),0.0,0.0
559,Last-Item,0.0,0.0
559,Avg-Last-10,0.0,0.0
559,Recency-Weighted,0.0,0.0
559,Essence (K=15),0.0,0.0
890,Random,0.0,
890,Popularity,0.0,
890,CF (ItemKNN),0.5,
890,Content (Avg Emb),0.0,
890,Last-Item,0.0,
890,Avg-Last-10,0.0,
890,Recency-Weighted,0.0,
890,Essence (K=15),0.0,
953,Random,0.0,
953,Popularity,0.16666666666666666,
953,CF (ItemKNN),0.16666666666666666,
953,Content (Avg Emb),0.0,
953,Last-Item,0.0,
953,Avg-Last-10,0.0,
953,Recency-Weighted,0.0,
953,Essence (K=15),0.0,
1049,Random,0.0,
1049,Popularity,0.07692307692307693,
1049,CF (ItemKNN),0.07692307692307693,
1049,Content (Avg Emb),0.0,
1049,Last-Item,0.0,
1049,Avg-Last-10,0.0,
1049,Recency-Weighted,0.0,
1049,Essence (K=15),0.0,
1159,Random,0.0,0.0
1159,Popularity,0.0,0.0
1159,CF (ItemKNN),0.0,0.0
1159,Content (Avg Emb),0.0,0.0
1159,Last-Item,0.18181818181818182,0.5
1159,Avg-Last-10,0.09090909090909091,0.5
1159,Recency-Weighted,0.09090909090909091,0.5
1159,Essence (K=15),0.0,0.0
1264,Random,0.0,
1264,Popularity,0.14285714285714285,
1264,CF (ItemKNN),0.42857142857142855,
1264,Content (Avg Emb),0.0,
1264,Last-Item,0.0,
1264,Avg-Last-10,0.0,
1264,Recency-Weighted,0.0,
1264,Essence (K=15),0.0,
1523,Random,0.0,0.0
1523,Popularity,0.0,0.0
1523,CF (ItemKNN),0.0,0.0
1523,Content (Avg Emb),0.0,0.0
1523,Last-Item,0.0,0.0
1523,Avg-Last-10,0.0,0.0
1523,Recency-Weighted,0.0,0.0
1523,Essence (K=15),0.0,0.0
1649,Random,0.0,0.0
1649,Popularity,0.0,0.0
1649,CF (ItemKNN),0.125,0.0
1649,Content (Avg Emb),0.0,0.0
1649,Last-Item,0.0,0.0
1649,Avg-Last-10,0.0,0.0
1649,Recency-Weighted,0.0,0.0
1649,Essence (K=15),0.0,0.0
1873,Random,0.0,
1873,Popularity,0.0,
1873,CF (ItemKNN),0.0,
1873,Content (Avg Emb),0.0,
1873,Last-Item,0.0,
1873,Avg-Last-10,0.0,
1873,Recency-Weighted,0.0,
1873,Essence (K=15),0.0,
2002,Random,0.0,
2002,Popularity,0.0,
2002,CF (ItemKNN),0.0,
2002,Content (Avg Emb),0.0,
2002,Last-Item,0.0,
2002,Avg-Last-10,0.0,
2002,Recency-Weighted,0.0,
2002,Essence (K=15),0.0,
2063,Random,0.2,
2063,Popularity,0.0,
2063,CF (ItemKNN),0.0,
2063,Content (Avg Emb),0.0,
2063,Last-Item,0.0,
2063,Avg-Last-10,0.0,
2063,Recency-Weighted,0.0,
2063,Essence (K=15),0.0,
2226,Random,0.0,
2226,Popularity,0.0,
2226,CF (ItemKNN),0.0,
2226,Content (Avg Emb),0.0,
2226,Last-Item,0.0,
2226,Avg-Last-10,0.0,
2226,Recency-Weighted,0.0,
2226,Essence (K=15),0.0,
2297,Random,0.0,
2297,Popularity,0.16666666666666666,
2297,CF (ItemKNN),0.16666666666666666,
2297,Content (Avg Emb),0.0,
2297,Last-Item,0.0,
2297,Avg-Last-10,0.0,
2297,Recency-Weighted,0.0,
2297,Essence (K=15),0.0,
2396,Random,0.0,
2396,Popularity,0.25,
2396,CF (ItemKNN),0.25,
2396,Content (Avg Emb),0.0,
2396,Last-Item,0.0,
2396,Avg-Last-10,0.0,
2396,Recency-Weighted,0.0,
2396,Essence (K=15),0.0,
2501,Random,0.0,
2501,Popularity,0.0,
2501,CF (ItemKNN),0.0,
2501,Content (Avg Emb),0.0,
2501,Last-Item,0.0,
2501,Avg-Last-10,0.0,
2501,Recency-Weighted,0.0,
2501,Essence (K=15),0.0,
2810,Random,0.0,
2810,Popularity,0.0,
2810,CF (ItemKNN),0.0,
2810,Content (Avg Emb),0.0,
2810,Last-Item,0.0,
2810,Avg-Last-10,0.0,
2810,Recency-Weighted,0.0,
2810,Essence (K=15),0.0,
3146,Random,0.0,0.0
3146,Popularity,0.0,0.0
3146,CF (ItemKNN),0.045454545454545456,0.0
3146,Content (Avg Emb),0.0,0.0
3146,Last-Item,0.0,0.0
3146,Avg-Last-10,0.0,0.0
3146,Recency-Weighted,0.0,0.0
3146,Essence (K=15),0.0,0.0
3171,Random,0.0,
3171,Popularity,0.0,
3171,CF (ItemKNN),0.0,
3171,Content (Avg Emb),0.0,
3171,Last-Item,0.0,
3171,Avg-Last-10,0.0,
3171,Recency-Weighted,0.0,
3171,Essence (K=15),0.0,
3367,Random,0.0,
3367,Popularity,0.3333333333333333,
3367,CF (ItemKNN),0.3333333333333333,
3367,Content (Avg Emb),0.0,
3367,Last-Item,0.0,
3367,Avg-Last-10,0.0,
3367,Recency-Weighted,0.0,
3367,Essence (K=15),0.0,
3413,Random,0.0,
3413,Popularity,0.25,
3413,CF (ItemKNN),0.25,
3413,Content (Avg Emb),0.0,
3413,Last-Item,0.0,
3413,Avg-Last-10,0.0,
3413,Recency-Weighted,0.0,
3413,Essence (K=15),0.0,
3461,Random,0.0,
3461,Popularity,0.1,
3461,CF (ItemKNN),0.0,
3461,Content (Avg Emb),0.0,
3461,Last-Item,0.0,
3461,Avg-Last-10,0.0,
3461,Recency-Weighted,0.0,
3461,Essence (K=15),0.0,
3561,Random,0.0,0.0
3561,Popularity,0.0,0.0
3561,CF (ItemKNN),0.0,0.0
3561,Content (Avg Emb),0.0,0.0
3561,Last-Item,0.0,0.0
3561,Avg-Last-10,0.0,0.0
3561,Recency-Weighted,0.0,0.0
3561,Essence (K=15),0.0,0.0
3835,Random,0.0,
3835,Popularity,0.16666666666666666,
3835,CF (ItemKNN),0.0,
3835,Content (Avg Emb),0.0,
3835,Last-Item,0.0,
3835,Avg-Last-10,0.0,
3835,Recency-Weighted,0.0,
3835,Essence (K=15),0.0,
3964,Random,0.0,0.0
3964,Popularity,0.3333333333333333,0.0
3964,CF (ItemKNN),0.2222222222222222,0.0
3964,Content (Avg Emb),0.0,0.0
3964,Last-Item,0.0,0.0
3964,Avg-Last-10,0.0,0.0
