user_id,tier,essence_recall@10,recency_recall@10,essence_lt@10,recency_lt@10
AE24IPP565CF2NWNDCSTYYGAWY5A,high,0.0,0.0,,
AE2EQIWFETMRHUOAQQ75IT7OYCWA,medium,0.13043478260869565,0.13043478260869565,0.0,0.0
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,high,0.0,0.0,,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,high,0.2,0.2,,
AE2L54LBHP2INCTEHGS7IEAFQJIA,medium,0.0,0.0,0.0,0.0
AE2LYVGEMVGJLY4AKRKBUGATC7RA,medium,0.0,0.0,0.0,0.0
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,medium,0.0,0.0,0.0,0.0
AE34UEHMNFJNTDSCOKGUGGZN37LQ,medium,0.0,0.0,0.0,0.0
AE36QRRPB4KJXCCDF2O6RO3RHGEA,medium,0.0,0.0,,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,low,0.0,0.0,0.0,0.0
AE3CLQPNFWSWGO2DB43T34O3UUVA,high,0.25,0.0,,
AE3JIZUY5NFAZXIUPKYAIC43SICQ,high,0.0,0.0,0.0,0.0
AE3NFC36AT3HIDJ5WJD3MFIJY33A,high,0.0,0.0,,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,high,0.0,0.0,0.0,0.0
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,medium,0.0,0.0,,
AE3QBHORIX77P4VSY56UGRH7JHKA,medium,0.0,0.0,0.0,0.0
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,medium,0.0,0.0,0.0,0.0
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,high,0.0,0.0,0.0,0.0
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,low,0.0,0.0,0.0,0.0
AE4INHLQ3RJDSFLZKJ7435HZNZ3A,medium,0.0,0.0,,
AE4OENC32WCDOINT3W6IDUVQNX4A,high,0.75,0.5,0.6666666666666666,0.3333333333333333
AE4QJLCBQH74DTKX3MN6JPSN22YQ,medium,0.0,0.0,0.0,0.0
