user_id,tier,essence_recall@10,recency_recall@10,essence_lt@10,recency_lt@10
67,medium,0.0,0.0,0.0,0.0
92,medium,0.0,0.0,,
264,medium,0.0,0.0,0.0,0.0
335,high,0.14285714285714285,0.0,0.0,0.0
400,low,0.0,0.0,0.0,0.0
419,high,0.0,0.0,,
559,medium,0.0,0.0,0.0,0.0
890,low,0.0,0.0,,
953,low,0.0,0.0,,
1049,medium,0.0,0.0,,
1159,medium,0.0,0.09090909090909091,0.0,0.5
1264,high,0.0,0.0,,
1523,medium,0.0,0.0,0.0,0.0
1649,medium,0.0,0.0,0.0,0.0
1873,medium,0.0,0.0,,
2002,high,0.0,0.0,,
2063,low,0.0,0.0,,
2226,medium,0.0,0.0,,
2297,medium,0.0,0.0,,
2396,high,0.0,0.0,,
2501,medium,0.0,0.0,,
2810,medium,0.0,0.0,,
3146,low,0.0,0.0,0.0,0.0
3171,low,0.0,0.0,,
3367,medium,0.0,0.0,,
3413,high,0.0,0.0,,
3461,low,0.0,0.0,,
3561,low,0.0,0.0,0.0,0.0
3835,high,0.0,0.0,,
3964,high,0.0,0.0,0.0,0.0
4022,medium,0.0,0.0,,
4057,high,0.0,0.0,0.0,0.0
4059,high,0.0,0.0,,
4186,low,0.0,0.0,,
4291,high,0.0,0.0,,
4673,high,0.0,0.0,,
4686,low,0.0,0.0,,
4701,low,0.0,0.0,0.0,0.0
4827,low,0.0,0.0,,
5087,low,0.0,0.0,0.0,0.0
5152,low,0.0,0.0,,
5205,low,0.0,0.0,0.0,0.0
5418,high,0.0,0.0,,
5833,medium,0.0,0.0,,
5961,high,0.0,0.0,,
6017,low,0.0,0.0,,
6052,high,0.0,0.0,,
6221,medium,0.0,0.0,,
6296,low,0.0,0.0,,
6409,low,0.0,0.0,,
6673,high,0.0,0.0,,
7100,medium,0.0,0.0,,
7170,low,0.0,0.0,,
7216,low,0.0,0.0,0.0,0.0
7462,medium,0.0,0.0,,
7525,high,0.07692307692307693,0.0,,
7675,low,0.0,0.0,0.0,0.0
7980,high,0.0,0.0,,
8163,high,0.5555555555555556,0.3333333333333333,0.0,0.0
8174,medium,0.0,0.0,0.0,0.0
8184,medium,0.0,0.0,,
8231,medium,0.0,0.0,0.0,0.0
8232,medium,0.0,0.0,,
