analysis,K,seed,n_users,n_lt_users,recall@10,lt_recall@10
K_sweep,2,42,99,92,0.008003188536440225,0.005907372400756144
K_sweep,3,42,99,92,0.0119189386052952,0.005907372400756144
K_sweep,4,42,99,92,0.023856608261556618,0.018024622046609907
K_sweep,5,42,99,92,0.025092638715440062,0.01799601792761677
seed_variance,3,0,99,92,0.011335539778924488,0.006479454780618843
seed_variance,3,1,99,92,0.011342961114978095,0.005907372400756144
seed_variance,3,2,99,92,0.012990977438133329,0.013153749212350345
seed_variance,3,3,99,92,0.011277255075147244,0.006479454780618843
seed_variance,3,4,99,92,0.012239384472634524,0.008081285444234405
seed_variance,3,5,99,92,0.010918119180780998,0.006479454780618843
seed_variance,3,6,99,92,0.013203297278967227,0.013725831592213045
seed_variance,3,7,99,92,0.010998054977106568,0.013153749212350345
seed_variance,3,8,99,92,0.013744638282155617,0.013725831592213045
seed_variance,3,9,99,92,0.013644168636839921,0.016055024138796895
seed_variance_summary,3,mean,99,,0.012169439623566803,0.010324120793477077
seed_variance_summary,3,std,99,,0.0010731797881017864,0.003753431321702307
