user_id,n_recs,n_shared_artist,shortcut_fraction,holdout_recall@10,holdout_long_tail_recall@10
user_000008,10,5,0.5,0.0,0.0
user_000014,10,2,0.2,0.0,0.0
user_000045,10,1,0.1,0.0,0.0
user_000048,10,9,0.9,0.0,0.0
user_000049,10,1,0.1,0.0,0.0
user_000057,10,8,0.8,0.0,0.0
user_000077,10,0,0.0,0.0,0.0
user_000080,10,1,0.1,0.0,0.0
user_000088,10,2,0.2,0.037037037037037035,
user_000098,10,1,0.1,0.0,
user_000099,10,1,0.1,0.0,
user_000101,10,2,0.2,0.0,0.0
user_000106,10,1,0.1,0.0,0.0
user_000140,10,1,0.1,0.0,0.0
user_000143,10,1,0.1,0.0,0.0
user_000146,10,1,0.1,0.037037037037037035,0.0
user_000157,10,10,1.0,0.0,0.0
user_000171,10,1,0.1,0.0,0.0
user_000176,10,6,0.6,0.0,0.0
user_000183,10,2,0.2,0.0,0.0
user_000184,10,1,0.1,0.0,0.0
user_000192,10,0,0.0,0.0,0.0
user_000204,10,0,0.0,0.0,0.0
user_000225,10,1,0.1,0.01098901098901099,0.043478260869565216
user_000228,10,2,0.2,0.0,0.0
user_000232,10,6,0.6,0.0,0.0
user_000247,10,5,0.5,0.0,0.0
user_000272,10,0,0.0,0.0,0.0
user_000282,10,0,0.0,0.0,0.0
user_000286,10,2,0.2,0.0,0.0
user_000301,10,0,0.0,0.0,0.0
user_000308,10,10,1.0,0.0,
user_000321,10,1,0.1,0.0,0.0
user_000328,10,1,0.1,0.0,0.0
user_000333,10,1,0.1,0.0,0.0
user_000335,10,5,0.5,0.0,0.0
user_000336,10,1,0.1,0.0,0.0
user_000352,10,2,0.2,0.0,0.0
user_000364,10,2,0.2,0.0,0.0
user_000368,10,0,0.0,0.0,0.0
user_000375,10,0,0.0,0.017543859649122806,0.0
user_000386,10,3,0.3,0.0,0.0
user_000399,10,10,1.0,0.0,0.0
user_000402,10,2,0.2,0.0,0.0
user_000406,10,0,0.0,0.0,0.0
user_000408,10,1,0.1,0.0,0.0
user_000410,10,3,0.3,0.0,0.0
user_000416,10,1,0.1,0.0,0.0
user_000419,10,3,0.3,0.0,0.0
user_000435,10,10,1.0,0.0,0.0
user_000448,10,1,0.1,0.0,0.0
user_000455,10,0,0.0,0.0,0.0
user_000473,10,0,0.0,0.0,0.0
user_000487,10,0,0.0,0.0,0.0
user_000519,10,2,0.2,0.0,0.0
user_000526,10,0,0.0,0.0,0.0
user_000541,10,1,0.1,0.0,0.0
user_000547,10,1,0.1,0.0,
user_000548,10,3,0.3,0.0,0.0
user_000556,10,5,0.5,0.0,0.0
user_000560,10,2,0.2,0.0,0.0
user_000561,10,9,0.9,0.0,0.0
user_000563,10,1,0.1,0.0,0.0
user_000567,10,1,0.1,0.0,0.0
user_000597,10,4,0.4,0.0,0.0
user_000608,10,0,0.0,0.0,0.0
user_000638,10,2,0.2,0.0,0.0
user_000657,10,0,0.0,0.0,0.0
user_000664,10,2,0.2,0.0,0.0
user_000674,10,3,0.3,0.0,0.0
user_000677,10,1,0.1,0.0,0.0
user_000723,10,0,0.0,0.0,0.0
user_000736,10,1,0.1,0.0,0.0
user_000748,10,3,0.3,0.0,0.0
user_000759,10,1,0.1,0.0,0.0
user_000777,10,1,0.1,0.0,0.0
user_000784,10,0,0.0,0.0,0.0
user_000785,10,0,0.0,0.0,0.0
user_000786,10,0,0.0,0.0,0.0
user_000796,10,4,0.4,0.0,0.0
user_000805,10,0,0.0,0.0,0.0
user_000817,10,1,0.1,0.015384615384615385,
user_000843,10,1,0.1,0.0,0.0
user_000846,10,6,0.6,0.0,0.0
user_000853,10,0,0.0,0.0,0.0
user_000855,10,5,0.5,0.0,
user_000859,10,5,0.5,0.0,0.0
user_000864,10,0,0.0,0.0,0.0
user_000883,10,0,0.0,0.0,0.0
user_000907,10,0,0.0,0.0,0.0
user_000916,10,0,0.0,0.024390243902439025,0.0
user_000948,10,1,0.1,0.0,0.0
user_000955,10,1,0.1,0.0,0.0
user_000956,10,0,0.0,0.0,0.0
user_000967,10,0,0.0,0.0,0.0
user_000972,10,3,0.3,0.0,0.0
user_000982,10,0,0.0,0.0,0.0
user_000985,10,4,0.4,0.0,0.0
user_000996,10,0,0.0,0.0,0.0
