user_id,n_recs,n_shared_author,shortcut_fraction,holdout_recall@10,holdout_long_tail_recall@10
AE24IPP565CF2NWNDCSTYYGAWY5A,10,1,0.1,0.0,
AE25PKP4DELQUP4EKOFRMTXG26GQ,10,4,0.4,0.0,0.0
AE2BR5KVBCYRPJOE5QIJA522WD6A,10,2,0.2,0.0,0.0
AE2EQIWFETMRHUOAQQ75IT7OYCWA,10,1,0.1,0.0,0.0
AE2FQMIPSPB4P4ICPAPY6CWKLVRA,10,10,1.0,0.0,
AE2IOEBB2ZWAJRCPU3UNMFYKFJAA,10,1,0.1,0.0,
AE2L54LBHP2INCTEHGS7IEAFQJIA,10,0,0.0,0.0,0.0
AE2LYVGEMVGJLY4AKRKBUGATC7RA,10,9,0.9,0.0,0.0
AE2N7SLQNNU3DMKWCSYQ3EX7YKSQ,10,2,0.2,0.1111111111111111,0.0
AE2PT4VR4PSPFP7GEKIAWXU5WIBQ,10,0,0.0,0.0,0.0
AE2RM4MMMEI72LAIUE65SE6O3HYA,10,1,0.1,0.0,0.0
AE34UEHMNFJNTDSCOKGUGGZN37LQ,10,6,0.6,0.0,0.0
AE36QRRPB4KJXCCDF2O6RO3RHGEA,10,10,1.0,0.0,
AE3B52RNBKYNGB4W7OUKA2ZUKETA,10,0,0.0,0.0,0.0
AE3CLQPNFWSWGO2DB43T34O3UUVA,10,10,1.0,0.0,
AE3F4FYL3INJ4TR7BTEVSJNZF7VQ,10,2,0.2,0.0,0.0
AE3JIZUY5NFAZXIUPKYAIC43SICQ,10,2,0.2,0.0,
AE3NFC36AT3HIDJ5WJD3MFIJY33A,10,9,0.9,0.0,
AE3NMEDUNWZRXX34BS4OARMGPIZQ,10,0,0.0,0.0,0.0
AE3O33QDAJUUUIHLL3BDEE4CT5WQ,10,0,0.0,0.0,0.0
AE3QBHORIX77P4VSY56UGRH7JHKA,10,0,0.0,0.0,0.0
AE3ZDAWJ75N5SZ4DPS54A6UNGVDQ,10,0,0.0,0.0,0.0
AE3ZV7ITHUXP3C3BASBBIQ7W32OQ,10,5,0.5,0.0,0.0
AE42ZHZLHE3K7IGBNPUQ2XGDQNIA,10,0,0.0,0.0,0.0
AE46IRBXL6OUQ4DYU2FTJOA4UBTQ,10,4,0.4,0.2,
AE4INHLQ3RJDSFLZKJ7435HZNZ3A,10,1,0.1,0.0,0.0
AE4OENC32WCDOINT3W6IDUVQNX4A,10,3,0.3,0.0,0.0
AE4QJLCBQH74DTKX3MN6JPSN22YQ,10,0,0.0,0.0,0.0
AE4WNZBCEVA3EXBG2H33AQ2FG7PQ,10,2,0.2,0.0,0.0
AE4Y3YEZRRMFC44WE74BCZQN5LRA,10,8,0.8,0.0,0.0
AE4ZF44EU4MZ3EFEBIKC6IVMBSMQ,10,8,0.8,0.0,
AE55IIDFUIUGHAHTLOPEQDSW3IHA,10,3,0.3,0.0,
AE56DXBMRDCY5MHCAL24LQJR7AMA,10,9,0.9,0.0,0.0
AE5BZ3XGNCMDPF2Y7V4VJ5XIE2OQ,10,4,0.4,0.0,
AE5EMRUM6ZAJLDVAXHHON3LR46MQ,10,0,0.0,0.0,0.0
AE5HL767XRMBS7GT7S634WKBNQDQ,10,2,0.2,0.0,0.0
AE5IUVLTAKMTYF7KFQOJBVDTWNEA,10,0,0.0,0.0,0.0
AE5O6ZHTQIPFEEGJ22RTNRAG6MVQ,10,2,0.2,0.0,0.0
AE5TY5TARFLHSSR4NQDUBPKZMQTQ,10,1,0.1,0.0,
AE5XEQMYG5PBY3OMG3NN4NJDSUPA,10,0,0.0,0.0,
AE5ZAEAGS7LVO5WE5HHJ7GKUQRBA,10,1,0.1,0.0,0.0
AE637SWDEZDSUOIQAR5MUU5CHOCA,10,3,0.3,0.0,0.0
AE63UQTYF2B7FBOT7GPWW7ZCSDCQ,10,0,0.0,0.0,
AE6462BTZG254SNA4VCUXPAQEAPA,10,1,0.1,0.0,0.0
AE6BA7CQPSS7F6UMPTJ5EBBMFN4Q,10,3,0.3,0.0,
AE6BF5P4HYA3SMJFGKSEYDWTSGFQ,10,7,0.7,0.0,0.0
AE6DG6QAAH2XSB7HUDD76XMNBWYQ,10,7,0.7,0.0,0.0
AE6E2BZSOCL273XIXORZY3NQUOWQ,10,1,0.1,0.0,0.0
AE6FNRDQABKOSIPU6LQCHJWO6GJQ,10,3,0.3,0.0,0.0
AE6I32MGP77YFNCYJGPL7H6H6P4A,10,2,0.2,0.0,
AE6MB4X6USKHKVJFVUH5TLEQHZYQ,10,0,0.0,0.0,0.0
AE6WSSXICM6NUXIT6VYPIITKGXPQ,10,2,0.2,0.07142857142857142,0.25
AE73S23OSGRJGKA65PW2TZISNTPQ,10,4,0.4,0.0,
AE76KLBIAF2DHSGCNBLOAL7ILN7A,10,6,0.6,0.0,
AE77XZ3PG7XMKTKPHHEZFEEET7QQ,10,0,0.0,0.0,0.0
AE7A2S24H674TMZF2ZCPNV4PKSMA,10,0,0.0,0.0,0.0
AE7DOD72UCUJ4YCYXQMDSDFIDH2Q,10,0,0.0,0.0,0.0
AE7EEXVSBZJR6H5V4G2APKJAGDRA,10,2,0.2,0.0,
AE7F4Q4FI6FN2FXC6TJW5FS2B4KQ,10,1,0.1,0.0,0.0
AE7FC5YJJSQ5QAXL5J4GBFQ52AVA,10,9,0.9,0.0,0.0
AE7HKWEYQGSL6J2NS25S2XXH3SBA,10,5,0.5,0.0,
AE7HUGGKDH6LGNVOMFMY6NTG4YBQ,10,1,0.1,0.0,0.0
AE7JHYVQBFVNCPTLV3POFLHOMULQ,10,1,0.1,0.0,
AE7KJLDBHYCA6Z4CVAIRTMAIOUNQ,10,2,0.2,0.0,0.0
AE7MEWDMTDZDHDVJKWGKB3MCAIPA,10,0,0.0,0.0,0.0
AE7NJBCDLDS3GMXV3LN55U23OIZQ,10,2,0.2,0.0,0.0
AE7R3JK73JEXTUC3J36FE5X5FJAQ,10,0,0.0,0.0,0.0
AE7UWKMZA6DOZTHJVXEI3ZQV7TSQ,10,0,0.0,0.0,
AE7WC5BVTWMWDWU6YO66JSWIDQEQ,10,4,0.4,0.0,
AE7YNU75R4Q5EDFGD5GHFHN5U6LQ,10,0,0.0,0.0,
AEA27IIUHGPUCMUMGFACNRNDKF3A,10,0,0.0,0.0,0.0
AEA2RTKQFCBIFICU4LW537E3SF6A,10,4,0.4,0.0,
AEA37BHOBFANFBUOKXHGKHRE4C2A,10,2,0.2,0.0,0.0
AEAB7UDZQBD4BNE3MS7MVXD3LYZA,10,1,0.1,0.0,0.0
AEAEEWYVZ2PYHOG3JLVGJ2BIYQYQ,10,3,0.3,0.0,
AEAGCIMGDOZO4UE4KHV2Y4KGGIKA,10,0,0.0,0.0,0.0
AEAIBHGHPGEMIOSJUHXM23QRYOAA,10,1,0.1,0.0,0.0
AEAIYWJDA77GH4GUZBBBU3IPMFRQ,10,1,0.1,0.0,
AEAJ4XROS3EJ7JB4ZMKP35YIWU3A,10,0,0.0,0.0,0.0
AEAKSVYQPLKKNTW4RNE6E6UHD2CA,10,5,0.5,0.14285714285714285,
AEAN4MNOJVFSMD2ZFMKYQ4X4N2HA,10,4,0.4,0.0,
AEAPBPDVH2ITSUQTUV3AZN5V3RXA,10,0,0.0,0.0,0.0
AEAR2TC7VZCNLUVXVJGLO6UFOO4A,10,1,0.1,0.0,
AEASMGHEEOS3VTNAH5XF72VV6NMQ,10,0,0.0,0.0,0.0
AEATHWSJO64CIZJWAFS74KTUWE5Q,10,5,0.5,0.25,1.0
AEAXIHND3PQZVYWBSKHEZVELNC6Q,10,2,0.2,0.0,0.0
AEBAQTUQLJAJPIY4XSKAHQ6ZQRZQ,10,0,0.0,0.0,
AEBHKFOA5GOEFOBILCDGSINIJH6Q,10,0,0.0,0.0,0.0
AEBILCVEHOQQIUYFGCZHXNYSJPQQ,10,1,0.1,0.0,0.0
AEBMHNX4DJIPJWDDLX2OGECFVSXA,10,1,0.1,0.0,0.0
AEBN3ZEJBUAQOQSYUFDCNQPSYXIA,10,1,0.1,0.0,0.0
AEBPL62TPS6L4GC6AJWKOID6FP5Q,10,1,0.1,0.0,0.0
AEBPRIVHDA6BJYQDKE2UTL5Y2TXQ,10,6,0.6,0.0,0.0
AEBQYIJ2ZKM3Q7CCYDWWTQSZAFOA,10,0,0.0,0.0,0.0
AEBTZ533CGSDBLRIUDYVI2Y2MDJA,10,5,0.5,0.0,0.0
AEBV2DAMJ36JSEFIY4OM5QXQMX2A,10,0,0.0,0.0,0.0
AEBYQHEW6TRETTBLICHHQIUJUCPQ,10,0,0.0,0.0,0.0
AEBZ3XWQCG23UY7HLZDXXYE7JCAQ,10,7,0.7,0.0,0.0
AEC3JL3L5COQT3736SYI7LMMQS4Q,10,9,0.9,0.0,
AEC6N2FWZBI4BI24H7ZXGPHULNRQ,10,1,0.1,0.0,
AECAZYV46EMIQD63JR6NNO6IYZFA,10,0,0.0,0.0,
AECCVFESJPHVAS4RVRKEA4EEXXXQ,10,0,0.0,0.0,0.0
AECDCYZOTXQR7II22FBWUQOXX3HQ,10,0,0.0,0.0,0.0
AECDNCG2FWKR75NVGAJBHGHSTWLA,10,2,0.2,0.0,
AECFRCKXOWJ4PB5Z2VGG345TM65Q,10,0,0.0,0.0,
AECFSTETVURAXDHXR4T3745IQNPA,10,1,0.1,0.0,
AECKRIBEGVXZJZY43V3HG7ZQNQUQ,10,0,0.0,0.0,0.0
AECL7JB5WQ5HTVCYDYW3XE2JBPHQ,10,1,0.1,0.0,
AECM64WE6UTVEZ6JPBFJ3HZRS2CQ,10,0,0.0,0.0,
AECPVEJ4XSSVLYRJMZRULTHZHTGQ,10,7,0.7,0.0,
AECQIXEHDH7NBXK6A2FRF2QZHDPQ,10,2,0.2,0.0,0.0
AECT4QHKYMP3TTJ35M73OO5ZYRCA,10,8,0.8,0.0,
AECTF3HARL3U5KUKZYKIQ7Q7ZMSA,10,4,0.4,0.0,
AECZYIRDYWLSY4LRB6WFWDW3NF5A,10,2,0.2,0.0,0.0
AED2GOLVKYNCMEMV6DGHZKMYTUKQ,10,1,0.1,0.0,
AED2YPA2SNGJGNVYELKNR3YUWUJQ,10,0,0.0,0.0,0.0
AED3PQGKE2MP7OA6YA7ITROMHQEQ,10,1,0.1,0.0,0.0
AED3TIUTVGBYQIVHFQ7BL5XXMEEQ,10,0,0.0,0.0,
AED4NEC25KAVQYWMAVUPF5ZJGTAQ,10,5,0.5,0.0,
AED67S5C67COQ6E3IWLCN5NO7VLA,10,0,0.0,0.0,
AED7ZMGX2J2O5YXONLDQCSFFUS4A,10,4,0.4,0.0,0.0
AEDAFCOGJU5QB55TRPIB3PKP2YPQ,10,9,0.9,0.0,0.0
AEDGWSW5ZO7QCGU5UD47IQ5BJ6MQ,10,1,0.1,0.0,
AEDHKOIH6WAOPG7NPJHXCIGHKSBQ,10,0,0.0,0.0,0.0
AEDI34V7XXO7LG7B2PG2XRJQ5EHQ,10,1,0.1,0.0,
AEDIKSFRX5JXTPBFH4WEVHDENUUQ,10,2,0.2,0.0,0.0
AEDKUI35LSPOZADCPBARMRQMPSGQ,10,3,0.3,0.0,0.0
AEDM7KNLPWPILDHY2PIF2FNDQSMA,10,5,0.5,0.0,0.0
AEDNHNJFJOE7GJ3ZNYVIZNTAOK2Q,10,0,0.0,0.0,0.0
AEDTPSV5TKV6TFHVUN5KKB4SJAFQ,10,3,0.3,0.14285714285714285,0.0
AEDYOS5VDOGIV6EQEO6KVJUS4V5Q,10,0,0.0,0.25,
AEDZBNHNKSIXOHEUKYYPMIOYLB6Q,10,6,0.6,0.0,
AEECHRG42M53EIZTJ7HVXZQI4U4Q,10,0,0.0,0.0,0.0
AEEGVVKWQ3UBYZBBJGKI76LKJAFQ,10,1,0.1,0.0,0.0
AEEJEKEDIYEAJRUREDLANBFCGUVQ,10,0,0.0,0.0,0.0
AEEJPOPGZKVV7ATPNSU346IXCFKQ,10,0,0.0,0.0,0.0
AEEJXJFDOZHMRHI7CNSTEX77XXWA,10,5,0.5,0.0,0.0
AEEMAQWZ7FWRTRG6L5BEGVZ24MNQ,10,2,0.2,0.0,0.0
AEEMFZXUUFIQCI5A2MZYX5YQE6GA,10,10,1.0,0.0,0.0
AEENUFZZ7VZ3QRDEXMFL34COQIAA,10,2,0.2,0.0,
AEERK55JHJK5CO6ECZEHRJVVMP3Q,10,2,0.2,0.0,0.0
AEERZ6EBGS2TMZ5HUTJJPLOCTLUA,10,5,0.5,0.0,
AEESVU5UOECM5KSS3YAWLTABB7SA,10,6,0.6,0.0,0.0
AEEWEZZ5OFTB6CSO6CHOAA56HWMQ,10,3,0.3,0.0,0.0
AEEWYZKH4OGRHNPVL2UIMYF6Q7BA,10,0,0.0,0.0,
AEEYGYMKWB4NMP7XEOKRRJB6ZXOA,10,1,0.1,0.0,0.0
AEEYQNUYWOE4DA5SZ32PUA6I5VRA,10,2,0.2,0.0,0.0
AEF23RYE2HBCPG447X2JD6J7G52A,10,3,0.3,0.0,0.0
AEF5U6HJFT7LRRHXDBXQEQKQ4R6Q,10,0,0.0,0.0,0.0
AEFA7QXOFRL2NABVRTPMSM5SXLDA,10,0,0.0,0.0,0.0
AEFEJHBNSMLDSE6VAENHF3JTEUJA,10,0,0.0,0.0,0.0
AEFEQBCTSOCM2EZ2EGWMH5RJGCEA,10,0,0.0,0.0,0.0
AEFH67R3UHKTHNT5VSRKRLM3CMNQ,10,3,0.3,0.0,0.0
AEFIPFXGCLEEUYG2RK4ZLBC2ETKQ,10,0,0.0,0.0,0.0
AEFNK3NSCPOCOIONNSPQ5XTQI4SA,10,5,0.5,0.0,
AEFQLMDRHWAJBF5ZGU24UFIM2PXQ,10,1,0.1,0.0,0.0
AEFRH7NOWYFGWTHRO5FBH4HRDXJQ,10,1,0.1,0.0,0.0
AEFRZZPFLH2D4JEEZWNM2QP7VUQQ,10,1,0.1,0.0,0.0
AEFWA4RPS6UJZNM3VYR3YC7AFMBQ,10,1,0.1,0.0,0.0
AEFWB23CABW4VX2PJ7IYU7MSWGHQ,10,4,0.4,0.0,
AEFYN24GIJD3PF5UHP7TRKUEZKSA,10,3,0.3,0.0,
AEG27DGPKCQ5ZWXYWSJP6QM3AAIA,10,0,0.0,0.0,0.0
AEG6JGSUOD2W3E4YNPWHVYEMMVIA,10,1,0.1,0.0,0.0
AEGD27E2R5NPNVOKSOEQ6FI54SZQ,10,1,0.1,0.0,0.0
AEGDYPMSKYVXJV5ITGUWJBM63HTQ,10,6,0.6,0.0,0.0
AEGFFH5RWY7KQZT3HLOKAMK3JZ5A,10,2,0.2,0.0,0.0
AEGJRNSGJ4S2IH33KSH45ICZ4UOQ,10,0,0.0,0.0,
AEGLMXXDXIEN2GTXMMBD4RPFYV3A,10,1,0.1,0.0,
AEGLWCLYPWJR5MISZI2R536DRGVA,10,0,0.0,0.0,0.0
AEGNLI4GH2WPBOMTCJUES6G6SCCQ,10,1,0.1,0.0,0.0
AEGQ5337JE7AZVWQB4NH3D3WLSGA,10,0,0.0,0.0,0.0
AEGQTA4YSBF6A7ETUOUGFTZASJLQ,10,1,0.1,0.0,
AEGSNK3H7CQ5RQTO3VEUA7ERV7ZA,10,1,0.1,0.0,0.0
AEGTJIWQKVA5K2C7XCOOCUWDX7KQ,10,0,0.0,0.0,
AEGZ6HJQWPXJNPNRXWYHSOEXFCHA,10,3,0.3,0.0,0.0
AEH3PHNVNSH6XTESIP6JIMOUYQ4A,10,0,0.0,0.0,0.0
AEH74W5HKKUU4ATDNSACSSQHSE3A,10,5,0.5,0.0,
AEHBOFYTNFSD2522T3QQKA6AN67Q,10,0,0.0,0.0,
AEHCLDKH7JVEUVXISNWXN72BVIEA,10,9,0.9,0.0,0.0
AEHEHGC7266BDBZFW4CFBQ5XUXZA,10,0,0.0,0.0,0.0
AEHEORTA5L6RK6HJ6EQGI4M7I35A,10,3,0.3,0.0,0.0
AEHIZZWVTLEKHGRW53EE33PVWGJA,10,0,0.0,0.0,0.0
AEHKDITJSRMJ4O67W74EBS2I2LAQ,10,2,0.2,0.0,
AEHOIAZ54JAVWFIIVNP7HDP4WHGA,10,1,0.1,0.0,0.0
AEHQOWODMPOUGWT4MIYKIJLNWSFQ,10,0,0.0,0.0,0.0
AEHSPPWMKD3UUNOD4AMUUNV7O5KA,10,2,0.2,0.0,0.0
AEHT5W5PE3RE2MCZXXNO7M3REICQ,10,5,0.5,0.0,
AEHTXGJEUCDDT26FNE7IQO55FPWQ,10,2,0.2,0.0,
AEHVHK3KO5WFC5DJG7CYRHSAVV4A,10,0,0.0,0.0,
AEI3YEAVL2VKZ4RVDCH3RYUD4FYA,10,2,0.2,0.0,
AEI4TR2QQJ7VTDKHJEI7IAVZAFBQ,10,0,0.0,0.0,
