user_id,n_recs,n_shared_genre,shortcut_fraction,holdout_recall@10,holdout_long_tail_recall@10
67,10,10,1.0,0.0,0.0
92,10,10,1.0,0.0,
182,10,10,1.0,0.0,0.0
264,10,10,1.0,0.0,
335,10,10,1.0,0.0,
400,10,10,1.0,0.0,
419,10,10,1.0,0.0,
509,10,10,1.0,0.0,
559,10,10,1.0,0.09090909090909091,
890,10,10,1.0,0.0,
953,10,10,1.0,0.0,
1049,10,10,1.0,0.0,
1159,10,9,0.9,0.058823529411764705,0.0
1264,10,10,1.0,0.0,
1310,10,10,1.0,0.0,
1510,10,10,1.0,0.0,
1523,10,10,1.0,0.0,
1568,10,10,1.0,0.0,
1649,10,10,1.0,0.0,0.0
1873,10,10,1.0,0.0,
2002,10,10,1.0,0.0,
2063,10,10,1.0,0.0,
2226,10,10,1.0,0.0,
2260,10,9,0.9,0.0,
2297,10,10,1.0,0.0,
2396,10,10,1.0,0.0,
2501,10,10,1.0,0.0,
2810,10,10,1.0,0.0,
3146,10,10,1.0,0.0,
3161,10,10,1.0,0.0,
3171,10,10,1.0,0.0,
3307,10,10,1.0,0.0,
3367,10,10,1.0,0.0,0.0
3413,10,10,1.0,0.0,
3461,10,10,1.0,0.0,
3561,10,10,1.0,0.0,0.0
3835,10,10,1.0,0.0,
3964,10,10,1.0,0.0,
4022,10,10,1.0,0.0,
4057,10,10,1.0,0.0,
4059,10,10,1.0,0.0,
4157,10,10,1.0,0.0,
4186,10,10,1.0,0.0,0.0
4291,10,10,1.0,0.0,
4359,10,10,1.0,0.0,0.0
4378,10,10,1.0,0.0,
4462,10,10,1.0,0.0,
4643,10,10,1.0,0.0,
4673,10,10,1.0,0.0,
4686,10,10,1.0,0.0,
4701,10,10,1.0,0.0,
4827,10,10,1.0,0.0,
5025,10,10,1.0,0.0,
5087,10,10,1.0,0.0,0.0
5152,10,10,1.0,0.0,
5205,10,10,1.0,0.0,0.0
5295,10,10,1.0,0.0,0.0
5307,10,10,1.0,0.0,
5418,10,10,1.0,0.0,0.0
5833,10,10,1.0,0.0,0.0
5856,10,10,1.0,0.0,
5961,10,10,1.0,0.0,
6017,10,10,1.0,0.0,
6052,10,10,1.0,0.0,
6221,10,10,1.0,0.0,
6296,10,10,1.0,0.0,
6409,10,10,1.0,0.0,
6463,10,10,1.0,0.0,
6483,10,10,1.0,0.0,
6488,10,10,1.0,0.0,
6544,10,10,1.0,0.0,
6547,10,10,1.0,0.0,
6673,10,10,1.0,0.0,
6798,10,10,1.0,0.0,0.0
7071,10,10,1.0,0.0,
7100,10,10,1.0,0.0,0.0
7170,10,8,0.8,0.0,0.0
7216,10,10,1.0,0.0,0.0
7378,10,10,1.0,0.0,
7408,10,10,1.0,0.0,
7462,10,10,1.0,0.0,
7489,10,10,1.0,0.0,
7525,10,10,1.0,0.0,
7675,10,10,1.0,0.02631578947368421,0.0
7980,10,10,1.0,0.0,
8163,10,9,0.9,0.0,0.0
8174,10,10,1.0,0.0,0.0
8184,10,10,1.0,0.0,
8231,10,10,1.0,0.0,0.0
8232,10,10,1.0,0.0,
8268,10,10,1.0,0.0,0.0
8358,10,10,1.0,0.0,0.0
8397,10,10,1.0,0.0,0.0
8474,10,10,1.0,0.0,
8727,10,10,1.0,0.0,
8826,10,10,1.0,0.0,
8830,10,10,1.0,0.0,
8882,10,10,1.0,0.0,
9118,10,10,1.0,0.0,
9146,10,10,1.0,0.0,0.0
9269,10,10,1.0,0.0,0.0
9312,10,10,1.0,0.0,
9441,10,10,1.0,0.0,
9533,10,9,0.9,0.0,
9557,10,10,1.0,0.0,
9604,10,10,1.0,0.0,
9736,10,10,1.0,0.0,
9839,10,10,1.0,0.0,0.0
9889,10,10,1.0,0.0,
9898,10,10,1.0,0.0,
9950,10,10,1.0,0.0,0.0
10169,10,10,1.0,0.0,
10314,10,10,1.0,0.0,
10372,10,10,1.0,0.0,0.0
10450,10,10,1.0,0.0,
10477,10,10,1.0,0.0,0.0
10667,10,10,1.0,0.0,
10796,10,10,1.0,0.0,
11007,10,10,1.0,0.0,
11097,10,10,1.0,0.0,
11176,10,10,1.0,0.0,
11196,10,10,1.0,0.0,
11212,10,10,1.0,0.0,0.0
11245,10,10,1.0,0.0,0.0
11272,10,10,1.0,0.0,
11319,10,10,1.0,0.0,0.0
11355,10,10,1.0,0.0,
11376,10,10,1.0,0.0,
11415,10,10,1.0,0.0,
11439,10,10,1.0,0.0,
11576,10,10,1.0,0.0,0.0
11599,10,10,1.0,0.03225806451612903,0.0
11632,10,10,1.0,0.0,0.0
11667,10,10,1.0,0.0,
11668,10,10,1.0,0.0,
11866,10,9,0.9,0.0,
11912,10,10,1.0,0.0,0.0
11981,10,10,1.0,0.0,
12077,10,10,1.0,0.0,
12114,10,10,1.0,0.0,0.0
12234,10,10,1.0,0.0,0.0
12279,10,10,1.0,0.0,
12306,10,10,1.0,0.0,
12315,10,10,1.0,0.0,
12330,10,10,1.0,0.0,0.0
12428,10,10,1.0,0.0,
12670,10,10,1.0,0.0,
12867,10,10,1.0,0.0,0.0
12874,10,10,1.0,0.0,
12903,10,10,1.0,0.0,
13044,10,10,1.0,0.0,0.0
13093,10,10,1.0,0.0,
13122,10,10,1.0,0.0,
13144,10,10,1.0,0.0,
13171,10,10,1.0,0.0,
13275,10,10,1.0,0.0,
13387,10,10,1.0,0.0,0.0
13402,10,10,1.0,0.0,
13728,10,10,1.0,0.0,
13855,10,10,1.0,0.0,0.0
13912,10,10,1.0,0.0,
13981,10,10,1.0,0.0,
13986,10,10,1.0,0.0,
14146,10,10,1.0,0.0,
14194,10,10,1.0,0.0,0.0
14373,10,10,1.0,0.0,
14720,10,10,1.0,0.0,
14748,10,10,1.0,0.0,0.0
14760,10,10,1.0,0.0,
14843,10,10,1.0,0.0,0.0
14896,10,10,1.0,0.0,
14910,10,10,1.0,0.0,
14970,10,10,1.0,0.0,0.0
15071,10,10,1.0,0.0,
15147,10,10,1.0,0.0,0.0
15202,10,10,1.0,0.0,
15230,10,10,1.0,0.0,
15239,10,10,1.0,0.0,
15259,10,10,1.0,0.0,
15308,10,10,1.0,0.0,
15404,10,10,1.0,0.0,
15799,10,10,1.0,0.0,
15834,10,10,1.0,0.0,
15868,10,10,1.0,0.0,
15872,10,10,1.0,0.0,
15980,10,10,1.0,0.0,
16059,10,10,1.0,0.0,
16064,10,10,1.0,0.0,
16164,10,10,1.0,0.0,
16195,10,10,1.0,0.0,
16211,10,10,1.0,0.0,0.0
16273,10,10,1.0,0.0,
16312,10,10,1.0,0.0,0.0
16385,10,10,1.0,0.0,
16409,10,10,1.0,0.0,
16413,10,10,1.0,0.0,
16490,10,10,1.0,0.0,
16643,10,10,1.0,0.0,
16692,10,10,1.0,0.0,
16740,10,10,1.0,0.0,
16759,10,10,1.0,0.0,
16791,10,10,1.0,0.0,
16918,10,10,1.0,0.0,
17085,10,10,1.0,0.0,
17233,10,10,1.0,0.0,
17381,10,10,1.0,0.0,
17407,10,10,1.0,0.0,
17420,10,10,1.0,0.0,
17494,10,10,1.0,0.0,
17660,10,10,1.0,0.0,
17705,10,10,1.0,0.0,
17713,10,10,1.0,0.0,0.0
17857,10,10,1.0,0.0,
17915,10,10,1.0,0.0,
18185,10,10,1.0,0.0,
18219,10,10,1.0,0.0,
18270,10,10,1.0,0.0,0.0
18271,10,10,1.0,0.0,
18530,10,10,1.0,0.0,
18647,10,10,1.0,0.0,
18694,10,10,1.0,0.0,0.0
18715,10,10,1.0,0.0,
18717,10,10,1.0,0.0,
18753,10,10,1.0,0.0,
18820,10,10,1.0,0.0,
18851,10,10,1.0,0.0,
18864,10,10,1.0,0.0,
18900,10,10,1.0,0.0,
18947,10,10,1.0,0.0,
18980,10,10,1.0,0.0,
19076,10,10,1.0,0.0,
19202,10,10,1.0,0.0,
19366,10,10,1.0,0.0,
19544,10,10,1.0,0.0,0.0
19592,10,10,1.0,0.0,
19724,10,10,1.0,0.0,
19779,10,10,1.0,0.0,
19787,10,10,1.0,0.0,0.0
19836,10,10,1.0,0.0,
19849,10,10,1.0,0.0,0.0
19966,10,10,1.0,0.0,0.0
20207,10,10,1.0,0.0,
20334,10,10,1.0,0.0,0.0
